regime,seed,encoder,retrain_steps,retrain_status,retrain_train_loss,retrain_train_acc,probe_val,wall_s,retrained_acc_iid_val,retrained_acc_reversed_val,retrained_acc_ctx_random_val,retrained_acc_spec_only_val,retrained_acc_iid_test,retrained_acc_reversed_test,retrained_acc_ctx_random_test,retrained_acc_spec_only_test,original_acc_iid_val,original_acc_reversed_val,original_acc_ctx_random_val,original_acc_spec_only_val,original_probe_val
unready10,2,kappa256,20000,budget,0.6339213252067566,0.7053333520889282,0.7306666666666667,40.74134707450867,0.6526666879653931,0.6703333258628845,0.6641666889190674,0.6859999895095825,0.6963333487510681,0.6890000104904175,0.690666675567627,0.706333339214325,0.9321666359901428,0.0648333355784416,0.4893333315849304,0.5218333005905151,0.7306666666666667
ready,0,init,20000,budget,0.2297256588935852,0.918749988079071,0.9116666666666666,40.41219234466553,0.9046666622161865,0.9020000100135803,0.9021666646003723,0.9051666855812073,0.934499979019165,0.9350000023841858,0.9354999661445618,0.9368333220481873,,,,,
ready,0,kappa1,20000,budget,0.1472558230161667,0.9504583477973938,0.9281666666666666,40.47494077682495,0.9494999647140503,0.9426666498184204,0.9466666579246521,0.9438333511352539,0.9639999866485596,0.9603333473205566,0.9628333449363708,0.9623333215713501,0.9298333525657654,0.0679999962449073,0.5046666860580444,0.4964999854564667,0.9281666666666666
ready,0,kappa256,20000,budget,0.14820432662963867,0.9491249918937683,0.9295,40.776201009750366,0.9469999670982361,0.9388332962989807,0.9431666731834412,0.9401666522026062,0.9624999761581421,0.9596666693687439,0.9614999890327454,0.9605000019073486,0.9279999732971193,0.0721666663885116,0.5071666836738586,0.4933333396911621,0.9295
ready,1,init,20000,budget,0.12344249337911606,0.9612083435058594,0.9413333333333334,40.91380858421326,0.9513333439826965,0.953166663646698,0.9524999856948853,0.950166642665863,0.968500018119812,0.968999981880188,0.968666672706604,0.965833306312561,,,,,
ready,1,kappa1,20000,budget,0.11477162688970566,0.9632916450500488,0.9343333333333333,40.90063714981079,0.9581666588783264,0.9591666460037231,0.9581666588783264,0.9546666741371155,0.971833348274231,0.9736666679382324,0.9713333249092102,0.9674999713897705,0.9225000143051147,0.0926666632294654,0.5133333206176758,0.5393333435058594,0.9343333333333332
ready,1,kappa256,20000,budget,0.11820053309202194,0.9614583253860474,0.9343333333333333,40.659311056137085,0.9548333287239075,0.9589999914169312,0.9574999809265137,0.9519999623298645,0.9708333015441895,0.9726666808128357,0.9711666703224182,0.965833306312561,0.9264999628067015,0.090499997138977,0.5134999752044678,0.543999969959259,0.9343333333333332
ready,2,init,20000,budget,0.13411012291908264,0.9522500038146973,0.9195,40.68498206138611,0.9154999852180481,0.9118333458900452,0.9133332967758179,0.9160000085830688,0.949833333492279,0.9506666660308838,0.9506666660308838,0.9514999985694885,,,,,
ready,2,kappa1,20000,budget,0.12051284313201904,0.9586250185966492,0.9161666666666667,40.92513108253479,0.9244999885559082,0.9233333468437195,0.9228333234786987,0.9258333444595337,0.9574999809265137,0.95333331823349,0.9551666378974915,0.956166684627533,0.9076666831970216,0.0885000005364418,0.4881666600704193,0.5431666374206543,0.9161666666666668
ready,2,kappa256,20000,budget,0.1093021109700203,0.9639583230018616,0.9179999999999999,40.690112352371216,0.9368333220481873,0.9278333187103271,0.9309999942779541,0.9329999685287476,0.9651666283607483,0.9589999914169312,0.9613333344459534,0.9606666564941406,0.9110000133514404,0.0869999974966049,0.4884999990463257,0.5391666889190674,0.918
