arm,width,head_mult,seed,encoder,status,steps,train_loss,wall_s,acc_ctx_random_val,f1_ctx_random_val,f1_ctx_random_val_CancerEpi,f1_ctx_random_val_CAS,f1_ctx_random_val_NormalStroma,f1_ctx_random_val_NormalEpi,acc_iid_val,f1_iid_val,f1_iid_val_CancerEpi,f1_iid_val_CAS,f1_iid_val_NormalStroma,f1_iid_val_NormalEpi,acc_homogeneous_val,f1_homogeneous_val,f1_homogeneous_val_CancerEpi,f1_homogeneous_val_CAS,f1_homogeneous_val_NormalStroma,f1_homogeneous_val_NormalEpi,acc_ctx_random_test,f1_ctx_random_test,f1_ctx_random_test_CancerEpi,f1_ctx_random_test_CAS,f1_ctx_random_test_NormalStroma,f1_ctx_random_test_NormalEpi,acc_iid_test,f1_iid_test,f1_iid_test_CancerEpi,f1_iid_test_CAS,f1_iid_test_NormalStroma,f1_iid_test_NormalEpi,acc_homogeneous_test,f1_homogeneous_test,f1_homogeneous_test_CancerEpi,f1_homogeneous_test_CAS,f1_homogeneous_test_NormalStroma,f1_homogeneous_test_NormalEpi
nat,32,1.0,1,0.3,done,20000.0,0.4157468378543854,6.583508491516113,0.7062162160873413,0.6850421893085546,0.7736367202824637,0.7342857142857143,0.6790205162144275,0.5532258064516129,0.6918919086456299,0.6764913971074333,0.7616766467065869,0.695959595959596,0.683111954459203,0.5652173913043478,0.6829729676246643,0.669023469301411,0.754336425978217,0.6814432989690722,0.674937965260546,0.5653761869978087,0.6733333468437195,0.6294483929967873,0.739870816206694,0.7394766780432309,0.6557645134914145,0.38268156424581007,0.6507407426834106,0.6177116901294577,0.717208182912154,0.7032181168057211,0.6519337016574586,0.39848675914249687,0.6462963223457336,0.6137130037034668,0.7160940325497287,0.6947621914509332,0.6490272373540856,0.3949685534591195
nat,32,1.0,1,final,done,20000.0,0.3813861310482025,6.508035898208618,0.7162162065505981,0.6918617937072797,0.7879019908116386,0.7426400759734093,0.6864463924477411,0.5504587155963303,0.7167567610740662,0.695986297014489,0.779320987654321,0.7447739426349052,0.7117962466487936,0.5480540111199365,0.7118918895721436,0.6917057908353326,0.7768723321691889,0.7401574803149606,0.7074468085106383,0.5423465423465423,0.6722221970558167,0.6226066314873904,0.7393310265282583,0.7399770904925544,0.6612641815235009,0.3498542274052478,0.6481481194496155,0.6034942286590863,0.7358708189158016,0.7016129032258065,0.6171617161716172,0.3593314763231198,0.6470370292663574,0.6008539361724194,0.7322970639032815,0.7029530978575564,0.6245901639344262,0.3435754189944134
headlr,32,0.00390625,1,0.3,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headlr,32,0.00390625,1,final,done,20000.0,0.46286851167678833,6.623568773269653,0.662162184715271,0.6407519546537688,0.713487629688747,0.7078972407231209,0.6805736636245111,0.4610492845786963,0.6337838172912598,0.6237203546899357,0.6691983122362869,0.6751657317695053,0.682896379525593,0.4676209952283572,0.6321621537208557,0.6214900972163808,0.6825396825396826,0.6536842105263158,0.6752293577981652,0.47450713800135963,0.6407407522201538,0.6011665772272727,0.6874617737003058,0.7256027554535017,0.646774193548387,0.3448275862068966,0.5899999737739563,0.5655905578352809,0.6358381502890174,0.6548347613219094,0.6180981595092024,0.35359116022099446,0.584074079990387,0.5603771369083587,0.6360153256704981,0.6402476780185758,0.6104783599088838,0.35476718403547675
nat16,32,1.0,1,0.3,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nat16,32,1.0,1,final,done,20000.0,0.5722857117652893,6.400937795639038,0.6254054307937622,0.6057843765199185,0.6562756357670222,0.7174845164363983,0.6693333333333333,0.38004402054292,0.5808108448982239,0.5702992823357418,0.6289631533847472,0.6076352067868505,0.6343768458357945,0.410221923335575,0.5791891813278198,0.5667553964219344,0.6342905405405406,0.5982627578718784,0.6358381502890174,0.39863013698630134,0.601111114025116,0.5660479523588214,0.6533665835411472,0.675075075075075,0.6278713629402757,0.30787878787878786,0.5540740489959717,0.5299581937439628,0.6016894087069525,0.5876840696117804,0.6210670314637483,0.30939226519337015,0.5485185384750366,0.5227135716924446,0.6132135984605517,0.5645933014354066,0.6138347884486233,0.2992125984251969
shuf,32,1.0,1,0.3,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shuf,32,1.0,1,final,done,20000.0,0.3747352063655853,6.596533298492432,0.7183784246444702,0.6958117760481672,0.7804499612102405,0.7536782154722355,0.6973947895791583,0.5517241379310345,0.6635135412216187,0.6471439418172648,0.735632183908046,0.658458244111349,0.6730083234244947,0.5214770158251696,0.6551351547241211,0.638287863370272,0.7369668246445498,0.6320441988950276,0.6631823461091754,0.5209580838323353,0.6696296334266663,0.6240373770733989,0.7349327091866589,0.7380952380952381,0.6551440329218107,0.36797752808988765,0.6259258985519409,0.5980582888045417,0.7037484885126964,0.6432225063938619,0.6402307137707282,0.4050314465408805,0.6237037181854248,0.5959415051197527,0.7061668681983071,0.6356589147286822,0.6399427344309234,0.4019975031210986
nat,32,1.0,2,init,done,20000.0,0.7840513586997986,6.5955729484558105,0.5254054069519043,0.5031274242273045,0.600896860986547,0.5699284009546539,0.5357142857142857,0.30597014925373134,0.5348649024963379,0.5018797242658461,0.6295133437990581,0.5878564857405704,0.5166312809624911,0.2735177865612648,0.5156756639480591,0.4869527786733703,0.6059880239520958,0.5725082664147378,0.5251550654720882,0.24415975885455915,0.5474073886871338,0.5050955331445561,0.6603550295857988,0.5536159600997507,0.5629090909090909,0.24350205198358413,0.5629629492759705,0.5217948751747629,0.6745283018867925,0.5861027190332326,0.5564950038431975,0.2700534759358289,0.5418518781661987,0.5035291714492183,0.6718192627824019,0.5390869293308318,0.5397058823529411,0.2635046113306983
nat,32,1.0,2,0.3,done,20000.0,0.41159287095069885,6.756175756454468,0.6959459781646729,0.6763345487830432,0.7544625148750496,0.7293447293447294,0.6838624338624338,0.5376685170499603,0.6778378486633301,0.6583166011075676,0.7548790007806401,0.6799184505606524,0.6687306501547987,0.5297383029341792,0.6737837791442871,0.6553038327728291,0.7511773940345369,0.6687402799377916,0.6719319562575942,0.5293657008613939,0.6651852130889893,0.6191029800966195,0.7275922671353251,0.7352096496266514,0.6596774193548387,0.3539325842696629,0.6418518424034119,0.6057527947636704,0.7200942840306424,0.6804374240583232,0.6416539050535988,0.3808255659121172,0.6407407522201538,0.6058609379556468,0.7221570926143025,0.667905824039653,0.6451612903225806,0.38821954484605087
