step,epoch,loss,n_valid_px,grad_theta_norm,grad_phi_norm,egr,r_rms
40,2,0.5325413942337036,20483,0.23232061720850966,1.465659028628645,0.15850932083823321,0.5233337879180908
41,2,0.61594557762146,26418,0.7168893872946771,3.091672097356965,0.23187756162993667,0.5302256345748901
42,2,2.5387258529663086,2989,2.8468542892799804,13.312641203744992,0.21384594129066706,1.0435209274291992
43,2,0.42347726225852966,9793,0.3343017057723697,3.3186305178743387,0.10073483744927322,0.5360159277915955
44,2,1.3748236894607544,7301,0.9656472586254561,7.415977278636827,0.13021173371270456,0.8805069327354431
45,2,0.990135133266449,7032,1.3462033539339737,6.90315934898099,0.19501264361404297,0.6961405277252197
46,2,1.0769906044006348,1949,0.8485351396273764,10.769057782239933,0.07879381435084144,0.8543049693107605
47,2,0.9814263582229614,42345,4.233268191964036,16.7032205870168,0.2534402374626033,0.7287567853927612
48,2,0.5714789032936096,17508,2.6495974934539452,10.133001358386752,0.26148200318365683,0.5572435259819031
49,2,0.7598845362663269,6082,1.465141071663233,6.14963712067922,0.23824837838580817,0.6630579829216003
50,2,1.1156833171844482,15833,0.5135672937837734,5.2282735633580515,0.09822884888483487,0.8178867101669312
51,2,0.2530253827571869,19409,0.3430491354873709,3.825129296985667,0.08968301692641231,0.31497251987457275
52,2,1.259024739265442,2233,1.1301520314527498,12.27788226032858,0.09204779843054242,0.8779328465461731
53,2,0.20621375739574432,8373,0.4406715625482793,5.059698441669155,0.08709443213434241,0.2586400806903839
