arm,width,head_mult,seed,encoder,status,steps,train_loss,wall_s,acc_ctx_random_val,f1_ctx_random_val,f1_ctx_random_val_CancerEpi,f1_ctx_random_val_CAS,f1_ctx_random_val_NormalStroma,f1_ctx_random_val_NormalEpi,acc_iid_val,f1_iid_val,f1_iid_val_CancerEpi,f1_iid_val_CAS,f1_iid_val_NormalStroma,f1_iid_val_NormalEpi,acc_homogeneous_val,f1_homogeneous_val,f1_homogeneous_val_CancerEpi,f1_homogeneous_val_CAS,f1_homogeneous_val_NormalStroma,f1_homogeneous_val_NormalEpi,acc_ctx_random_test,f1_ctx_random_test,f1_ctx_random_test_CancerEpi,f1_ctx_random_test_CAS,f1_ctx_random_test_NormalStroma,f1_ctx_random_test_NormalEpi,acc_iid_test,f1_iid_test,f1_iid_test_CancerEpi,f1_iid_test_CAS,f1_iid_test_NormalStroma,f1_iid_test_NormalEpi,acc_homogeneous_test,f1_homogeneous_test,f1_homogeneous_test_CancerEpi,f1_homogeneous_test_CAS,f1_homogeneous_test_NormalStroma,f1_homogeneous_test_NormalEpi
nat,32,1.0,1,0.3,done,20000.0,0.3495886027812958,27.376803159713745,0.7335135340690613,0.7144024148405144,0.7891472868217054,0.7523809523809524,0.7242960052390308,0.5917854149203688,0.7186486721038818,0.7002750201037171,0.7861227601982462,0.7091913611250628,0.7151819322459222,0.5906040268456376,0.7181081175804138,0.700026711586141,0.7909262759924386,0.6952037132542548,0.7131400370141888,0.600836820083682,0.7400000095367432,0.7057370800315341,0.8055555555555556,0.7794698251551043,0.7097844112769486,0.5281385281385281,0.7166666388511658,0.685719582278842,0.7954802259887006,0.7292289300657502,0.6973058637083994,0.520863309352518,0.712592601776123,0.682036181588636,0.7986463620981388,0.7192771084337349,0.6887312844759653,0.5214899713467048
nat,32,1.0,1,final,done,20000.0,0.21827813982963562,29.05102014541626,0.7183784246444702,0.7019108023248828,0.7689885871704053,0.7459514170040485,0.7192546583850932,0.5734485467399842,0.7175675630569458,0.699967071371478,0.7745664739884393,0.733402489626556,0.7195571955719557,0.5723421262989609,0.7100000381469727,0.6928741482065471,0.7704101188194711,0.7145877378435518,0.7150701647345943,0.5714285714285714,0.8299999833106995,0.7902594235709464,0.8759278897136797,0.8576104746317512,0.8083623693379791,0.6191369606003753,0.8270370364189148,0.7903458915010017,0.8798751950078003,0.8402234636871508,0.808326105810928,0.6329588014981273,0.8237037062644958,0.7846018871627966,0.8787564766839379,0.8369747899159664,0.8072916666666666,0.6153846153846154
headlr,32,0.00390625,1,0.3,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headlr,32,0.00390625,1,final,done,20000.0,0.3201797902584076,28.79012680053711,0.726756751537323,0.7074060119171214,0.7803557617942769,0.7446808510638298,0.72808701215611,0.5765004226542688,0.7197297215461731,0.7044300024551975,0.7565660525284202,0.7484123106985833,0.7444876783398184,0.5682539682539682,0.7213513851165771,0.7061518786362007,0.7650273224043715,0.7437037037037038,0.7386215864759428,0.5772549019607843,0.7192592620849609,0.6873054798885078,0.776918500892326,0.7665148063781321,0.7037643207855974,0.5020242914979757,0.7114814519882202,0.6813302369226264,0.7528156490812092,0.7696629213483146,0.7028423772609819,0.5,0.6996296048164368,0.6688953294027549,0.7419354838709677,0.763494713411241,0.6847635726795096,0.48538754764930114
nat16,32,1.0,1,0.3,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nat16,32,1.0,1,final,done,20000.0,0.5664235949516296,29.261158227920532,0.6086486577987671,0.5854342950034288,0.6720321931589537,0.6702439024390244,0.6350032530904359,0.3644578313253012,0.5956757068634033,0.5793276321452492,0.6550580431177446,0.6281329923273657,0.6387370977534912,0.3953823953823954,0.592972993850708,0.5758927783959982,0.6520479933802235,0.6329243353783232,0.6342057212416312,0.38439306358381503,0.6170370578765869,0.5861371073970536,0.7016029593094945,0.6599045346062052,0.6052631578947368,0.37777777777777777,0.5788888931274414,0.5560074081032265,0.6504169339320077,0.6018158236057068,0.6128803963198868,0.35891647855530473,0.5737037062644958,0.5526813305165492,0.6365422396856582,0.6052463211772233,0.6077032810271041,0.36123348017621143
shuf,32,1.0,1,0.3,done,20000.0,0.29370394349098206,29.644425630569458,0.7443243265151978,0.7246681176292995,0.8023032629558541,0.7640449438202247,0.7314874436574372,0.600836820083682,0.707027018070221,0.6906404196837337,0.7731678945327647,0.6998939554612937,0.7090581883623275,0.580441640378549,0.6994594931602478,0.6837206208233899,0.7722849357726742,0.6779107725788901,0.7,0.5846867749419954,0.7640740871429443,0.730296758307704,0.8255223037831734,0.7941009642654566,0.7384868421052632,0.563076923076923,0.7292592525482178,0.7018482963567163,0.8020536223616657,0.7369062119366626,0.7177914110429447,0.550641940085592,0.7303703427314758,0.7019588715904386,0.8045325779036827,0.7361963190184049,0.7229470452801228,0.5441595441595442
shuf,32,1.0,1,final,done,20000.0,0.2048698216676712,29.660653114318848,0.7332432866096497,0.7159114708811477,0.7880202255931544,0.7547738693467336,0.726474278544542,0.5943775100401606,0.7078378796577454,0.6920321067363583,0.7696519358623387,0.7116303770578863,0.7118847539015606,0.5749613601236476,0.7013513445854187,0.6859490539283862,0.7666405638214565,0.6968716289104638,0.7079856972586412,0.5722983257229832,0.8218518495559692,0.7891532355767821,0.8759439050701187,0.8398891966759002,0.7918436703483432,0.648936170212766,0.7881481647491455,0.7585783531917594,0.8504109589041096,0.7957497048406139,0.773015873015873,0.6151368760064412,0.779629647731781,0.7487773096690313,0.8455640744797371,0.7866108786610879,0.7654901960784314,0.597444089456869
nat,32,1.0,2,init,done,20000.0,0.7554976940155029,29.570623636245728,0.5367567539215088,0.5109498810529898,0.6085909273384184,0.5890027958993477,0.555858310626703,0.29034749034749036,0.5518919229507446,0.5086191006611538,0.6426129889859475,0.6083755177174414,0.574792243767313,0.20869565217391303,0.5518919229507446,0.5105154000015311,0.6537585421412301,0.583413693346191,0.5899280575539568,0.21496130696474636,0.5944444537162781,0.5632510955437708,0.7121484141232794,0.5855799373040752,0.5849056603773585,0.37037037037037035,0.6185185313224792,0.5869613042748528,0.7521968365553603,0.6001239925604464,0.5835189309576837,0.4120054570259209,0.5818518400192261,0.5549531777198851,0.7446300715990454,0.5168094924192486,0.5573314801945796,0.4010416666666667
nat,32,1.0,2,0.3,done,20000.0,0.343730092048645,29.737311601638794,0.7343243360519409,0.715548476069892,0.7831138652207591,0.7594339622641509,0.732,0.5876460767946577,0.7167567610740662,0.6992382567737072,0.7866205305651672,0.7043701799485861,0.7110568112400732,0.5949055053410025,0.7121621966362,0.6943138504307889,0.7859057832248181,0.693792383933229,0.7062386432465173,0.5913185913185913,0.732962965965271,0.6991171803841583,0.7842907385697538,0.782559456398641,0.720527617477329,0.509090909090909,0.7011111378669739,0.6728306337905887,0.7676179382644147,0.7221884498480243,0.6967150496562261,0.50480109739369,0.7048147916793823,0.6763740856151119,0.7725421756835369,0.7239263803680982,0.7035633055344959,0.505464480874317
nat,32,1.0,2,final,done,20000.0,0.21396447718143463,29.683100938796997,0.7251351475715637,0.7079826035969543,0.7763415589502546,0.7537239324726912,0.7218332272437937,0.5800316957210776,0.7194594740867615,0.7025569963482503,0.7795823665893271,0.7260345730749084,0.7248322147651006,0.5797788309636651,0.7162162065505981,0.6990347745724538,0.7791505791505792,0.7206733298264072,0.7203907203907204,0.5759244689221086,0.8259259462356567,0.7861307363495798,0.866418307610431,0.8562019758507134,0.814495254529767,0.6074074074074074,0.7974073886871338,0.7587500410452016,0.8616352201257862,0.804208065458796,0.7809215844785772,0.5882352941176471,0.7922222018241882,0.7536507435119201,0.864158829676071,0.7926757235676314,0.7699680511182109,0.5878003696857671
headlr,32,0.00390625,2,0.3,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headlr,32,0.00390625,2,final,done,20000.0,0.3154844343662262,29.916971445083618,0.7251351475715637,0.7067889265170226,0.7708578143360753,0.7522416234072676,0.7295350360183366,0.5745212323064113,0.730810821056366,0.7143088645932795,0.7597325992921746,0.7746288798920378,0.7369175627240143,0.585956416464891,0.7364864945411682,0.7191469207405063,0.7686888454011742,0.7803131991051454,0.7346938775510204,0.592891760904685,0.7418518662452698,0.7077485087679647,0.786174575278266,0.7966573816155988,0.7284991568296796,0.5196629213483146,0.7099999785423279,0.6665652752564878,0.7597633136094675,0.7906976744186046,0.6098081023454158,0.5059920106524634,0.7074074149131775,0.6618910837705062,0.7628622117090479,0.788621873467386,0.5914567360350493,0.5046235138705416
nat16,32,1.0,2,0.3,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nat16,32,1.0,2,final,done,20000.0,0.5563805103302002,29.621692180633545,0.6183784008026123,0.5930441600016454,0.6791699920191541,0.6817743490838959,0.644487932159165,0.3667443667443667,0.6259459853172302,0.6078761401244175,0.6704918032786885,0.6741678387248008,0.6464779460171165,0.44036697247706424,0.6270270347595215,0.6080715462844174,0.6769355492501014,0.6679389312977099,0.6524271844660194,0.43498452012383904,0.618148148059845,0.5833597962532244,0.696078431372549,0.6718192627824019,0.6111111111111112,0.35443037974683544,0.6162962913513184,0.5838120764156951,0.6717460317460318,0.7001114827201784,0.5888324873096447,0.3745583038869258,0.6048148274421692,0.5742827079766545,0.6658195679796697,0.6776018099547512,0.5829892650701899,0.3707201889020071
shuf,32,1.0,2,0.3,done,20000.0,0.2917942702770233,29.67451810836792,0.7456756830215454,0.7271546850501903,0.7908063887806779,0.7803692905733722,0.7506459948320413,0.58679706601467,0.7189189195632935,0.702989497014864,0.7731998459761263,0.7243355914538823,0.7302955665024631,0.5841269841269842,0.7143243551254272,0.6986031098178315,0.7733026467203682,0.7082452431289641,0.7235079171741778,0.5893566322478158,0.7740740776062012,0.7405844894243787,0.814139110604333,0.8186874304783093,0.7619848612279226,0.56752655538695,0.7514814734458923,0.7196388943880944,0.7952755905511811,0.7872463768115942,0.7524590163934426,0.5435745937961596,0.75,0.7184674459142542,0.7941671340437465,0.7840842598010532,0.7528455284552845,0.5427728613569321
shuf,32,1.0,2,final,done,20000.0,0.19942806661128998,27.989487171173096,0.7429729700088501,0.7250798438127031,0.7948517940717629,0.7713717693836978,0.739240506329114,0.594855305466238,0.7251351475715637,0.7073278556528676,0.7948523845571537,0.7117021276595744,0.7209726443768997,0.6017842660178426,0.7202702760696411,0.7024260934252202,0.7927792403159082,0.6978998384491115,0.7185410334346505,0.6004842615012107,0.8162962794303894,0.782576414599305,0.864452912357104,0.8417545807884509,0.7932489451476793,0.6308492201039861,0.7962962985038757,0.763792566290994,0.8504875406283857,0.8137931034482758,0.7808896210873146,0.61,0.7911111116409302,0.7595479450675919,0.848780487804878,0.8032691185055458,0.7785888077858881,0.6075533661740559
