k,model,seed,split,acc,macro_f1,f1_CancerEpi,f1_CAS,f1_NormalStroma,f1_NormalEpi
8,logreg,0,val,0.577027027027027,0.5520398176163038,0.6545601291364003,0.6271018793273986,0.5977301387137453,0.3287671232876712
8,logreg,0,test,0.6333333333333333,0.5967411646894734,0.737217598097503,0.6494650723725613,0.6332607116920842,0.3670212765957447
8,mlp,0,val,0.6162162162162163,0.5920381213339221,0.678060413354531,0.6777506112469438,0.6414602346805737,0.3708812260536398
8,mlp,0,test,0.6492592592592593,0.6097920971148518,0.7740825688073395,0.6423173803526449,0.625090645395214,0.397677793904209
8,mlp,1,val,0.632972972972973,0.6062283304202352,0.6879234754882423,0.7140864714086471,0.643646408839779,0.37925696594427244
8,mlp,1,test,0.6533333333333333,0.6153136512416689,0.7684271619268718,0.6625842008573178,0.6234153616703952,0.406827880512091
8,mlp,2,val,0.6470270270270271,0.6057608992251949,0.7241508025382606,0.7112349117920148,0.6463245492371706,0.3413333333333333
8,mlp,2,test,0.6751851851851852,0.619319539464759,0.8032697547683924,0.6805721096543504,0.6285714285714286,0.36486486486486486
16,lda,0,val,0.5856756756756757,0.5738773736378301,0.6135792120704108,0.6663301362948006,0.6426271732131359,0.372972972972973
16,lda,0,test,0.5603703703703704,0.5425414760286889,0.5635135135135135,0.6380290587492103,0.6322869955156951,0.33633633633633636
16,logreg,0,val,0.6181081081081081,0.5980069733319627,0.6688311688311688,0.6805762543467462,0.6607482561826252,0.3818722139673105
16,logreg,0,test,0.6118518518518519,0.5857293810914423,0.6471354166666666,0.6912991656734208,0.6386292834890965,0.36585365853658536
16,mlp,0,val,0.6845945945945946,0.6595168509676048,0.7498057498057498,0.7283236994219653,0.6802631578947368,0.4796747967479675
16,mlp,0,test,0.6603703703703704,0.6311377880681529,0.7510548523206751,0.6883720930232559,0.620744259699129,0.46437994722955145
16,mlp,1,val,0.6924324324324325,0.6657834221214186,0.7877412031782066,0.6895854398382204,0.6645846346033729,0.5212224108658744
16,mlp,1,test,0.6566666666666666,0.6294926006622237,0.7722419928825622,0.6528117359413202,0.6138909634055265,0.4790257104194858
16,mlp,2,val,0.6959459459459459,0.6691410091276957,0.7576343254735215,0.7453703703703703,0.6884108258154059,0.48514851485148514
16,mlp,2,test,0.6748148148148149,0.6415187272982668,0.7648114901256733,0.7172336865588399,0.6126582278481013,0.47137150466045274
23,lda,0,val,0.6410810810810811,0.6244468174970629,0.7115537848605578,0.656934306569343,0.6533166458072591,0.4759825327510917
23,lda,0,test,0.6403703703703704,0.6170235182684888,0.673469387755102,0.7051744885679904,0.6645914396887159,0.4248587570621469
