arm,width,head_mult,seed,encoder,status,steps,train_loss,wall_s,acc_ctx_random_val,f1_ctx_random_val,f1_ctx_random_val_Asphalt,f1_ctx_random_val_Meadows,f1_ctx_random_val_Gravel,f1_ctx_random_val_Trees,f1_ctx_random_val_PaintedMetal,f1_ctx_random_val_BareSoil,f1_ctx_random_val_Bitumen,f1_ctx_random_val_Bricks,f1_ctx_random_val_Shadows,acc_iid_val,f1_iid_val,f1_iid_val_Asphalt,f1_iid_val_Meadows,f1_iid_val_Gravel,f1_iid_val_Trees,f1_iid_val_PaintedMetal,f1_iid_val_BareSoil,f1_iid_val_Bitumen,f1_iid_val_Bricks,f1_iid_val_Shadows,acc_homogeneous_val,f1_homogeneous_val,f1_homogeneous_val_Asphalt,f1_homogeneous_val_Meadows,f1_homogeneous_val_Gravel,f1_homogeneous_val_Trees,f1_homogeneous_val_PaintedMetal,f1_homogeneous_val_BareSoil,f1_homogeneous_val_Bitumen,f1_homogeneous_val_Bricks,f1_homogeneous_val_Shadows,acc_ctx_random_test,f1_ctx_random_test,f1_ctx_random_test_Asphalt,f1_ctx_random_test_Meadows,f1_ctx_random_test_Gravel,f1_ctx_random_test_Trees,f1_ctx_random_test_PaintedMetal,f1_ctx_random_test_BareSoil,f1_ctx_random_test_Bitumen,f1_ctx_random_test_Bricks,f1_ctx_random_test_Shadows,acc_iid_test,f1_iid_test,f1_iid_test_Asphalt,f1_iid_test_Meadows,f1_iid_test_Gravel,f1_iid_test_Trees,f1_iid_test_PaintedMetal,f1_iid_test_BareSoil,f1_iid_test_Bitumen,f1_iid_test_Bricks,f1_iid_test_Shadows,acc_homogeneous_test,f1_homogeneous_test,f1_homogeneous_test_Asphalt,f1_homogeneous_test_Meadows,f1_homogeneous_test_Gravel,f1_homogeneous_test_Trees,f1_homogeneous_test_PaintedMetal,f1_homogeneous_test_BareSoil,f1_homogeneous_test_Bitumen,f1_homogeneous_test_Bricks,f1_homogeneous_test_Shadows
nat,32,1.0,1,0.3,done,20000.0,0.5359247922897339,41.27036166191101,0.6046666502952576,0.6179732500521141,0.6960731576116191,0.6420409247940473,0.26044226044226043,0.747308423052565,0.9887640449438202,0.2170418006430868,0.533210332103321,0.5125925925925926,0.9642857142857143,0.6396666765213013,0.620708882452285,0.7062532842879664,0.7181390744865133,0.3450413223140496,0.8443804034582133,0.9962264150943396,0.19769357495881384,0.6105263157894737,0.18181818181818182,0.9863013698630136,0.6334999799728394,0.6098537113940775,0.6981934112646121,0.7183411503332511,0.33696729435084244,0.8369723435225619,0.9869158878504672,0.19471947194719472,0.6030534351145038,0.13392857142857142,0.9795918367346939,0.715833306312561,0.7129717582680647,0.8321243523316062,0.7749614282565572,0.3896940418679549,0.8757396449704142,0.9912280701754386,0.384,0.4671814671814672,0.7544483985765125,0.9473684210526315,0.7099999785423279,0.7087427124466316,0.8569994982438535,0.7971380471380471,0.38902147971360385,0.8682352941176471,0.9911504424778761,0.3935309973045822,0.511520737327189,0.5880370682392586,0.9830508474576272,0.703499972820282,0.7026216386646802,0.8536585365853658,0.7975589225589226,0.38288288288288286,0.8645465253239105,0.9912280701754386,0.39572192513368987,0.5155555555555555,0.5433628318584071,0.9790794979079498
nat,32,1.0,1,final,done,20000.0,0.5170460343360901,42.332364082336426,0.609666645526886,0.6286900404232404,0.6940540540540541,0.6409574468085106,0.29904306220095694,0.7535121328224776,0.9887640449438202,0.2192,0.5426214482126489,0.547085201793722,0.972972972972973,0.6526666879653931,0.6514626496522314,0.7178423236514523,0.7141439205955334,0.37610619469026546,0.843772498200144,0.9962264150943396,0.200652528548124,0.6266009852216748,0.39926062846580407,0.988558352402746,0.6466666460037231,0.6418781945731179,0.7076115485564305,0.7156280909990109,0.3626609442060086,0.8355167394468704,0.9850746268656716,0.2,0.6196078431372549,0.3712121212121212,0.9795918367346939,0.7201666831970215,0.7198337245235839,0.8309932397295892,0.7772364924712135,0.4090909090909091,0.8792079207920792,0.9955947136563876,0.40445026178010474,0.46923076923076923,0.7575971731448763,0.9551020408163265,0.7245000004768372,0.7234902601529826,0.858433734939759,0.7996622334811062,0.4185430463576159,0.8787878787878788,0.9911504424778761,0.40214477211796246,0.5081585081585082,0.6671899529042387,0.9873417721518988,0.7164999842643738,0.717516146695156,0.8574327752409944,0.7957850368809273,0.41475826972010177,0.8615384615384616,0.9912280701754386,0.3962765957446808,0.5234899328859061,0.6380566801619433,0.9790794979079498
headlr,32,0.00390625,1,0.3,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headlr,32,0.00390625,1,final,done,20000.0,0.49285051226615906,42.374388694763184,0.612500011920929,0.6228717164564654,0.7108433734939759,0.6537758035014372,0.2440677966101695,0.7764705882352941,0.9850746268656716,0.2062552831783601,0.5498154981549815,0.5043731778425656,0.9751693002257337,0.6620000004768372,0.6639815942218815,0.7219307450157397,0.716055625790139,0.3097560975609756,0.7832258064516129,0.9906191369606003,0.24976700838769805,0.5872259294566253,0.6264705882352941,0.9907834101382489,0.6628333330154419,0.6635826038038358,0.7223097112860892,0.7177664974619289,0.29952830188679247,0.7848426461143224,0.9943502824858758,0.27052238805970147,0.5972762645914397,0.6038291605301914,0.9818181818181818,0.6993333101272583,0.7038233349310601,0.8341968911917098,0.7521405049396268,0.3576158940397351,0.8608608608608609,0.9912280701754386,0.3282392026578073,0.48096192384769537,0.7541666666666667,0.975,0.734499990940094,0.723724782949681,0.8615384615384616,0.7913822525597269,0.3470790378006873,0.9031578947368422,0.9911504424778761,0.3514467184191955,0.4964200477326969,0.7798227675528289,0.9915254237288136,0.746666669845581,0.7336524235991769,0.8577134298552171,0.8037743941668454,0.36048526863084923,0.8997912317327766,0.9912280701754386,0.4083916083916084,0.5023696682464455,0.7875927174645988,0.9915254237288136
nat16,32,1.0,1,0.3,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nat16,32,1.0,1,final,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shuf,32,1.0,1,0.3,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shuf,32,1.0,1,final,done,20000.0,0.5306796431541443,42.27454614639282,0.6121666431427002,0.6202096210707422,0.7053763440860215,0.6513954713006845,0.2577565632458234,0.7547649301143583,0.9869158878504672,0.2231614539306847,0.546617915904936,0.5022556390977444,0.9536423841059603,0.6445000171661377,0.6412851221384994,0.7106741573033708,0.7096774193548387,0.29646522234891676,0.8830963665086888,0.998109640831758,0.21801665404996215,0.6389228886168911,0.3741258741258741,0.9424778761061947,0.6489999890327454,0.6441253145113602,0.7114661654135338,0.7218155197657394,0.3056768558951965,0.8731466227347611,0.9832402234636871,0.22137404580152673,0.6566037735849056,0.3722627737226277,0.9515418502202643,0.7045000195503235,0.7066329867696791,0.8389089037570767,0.7572034844762118,0.3744,0.8384615384615385,0.9955947136563876,0.38306188925081436,0.47035573122529645,0.7426942266571632,0.9590163934426229,0.7136666774749756,0.6983705214295823,0.8608076009501188,0.7754749568221071,0.41761363636363635,0.8284313725490197,0.9911504424778761,0.4091189155884165,0.3492063492063492,0.7218045112781954,0.9317269076305221,0.7183333039283752,0.702503501282761,0.8759398496240601,0.7759353741496599,0.4184704184704185,0.7596899224806202,0.9912280701754386,0.42,0.397212543554007,0.7328358208955223,0.9512195121951219
nat,32,1.0,2,init,done,20000.0,0.7894316911697388,42.39036440849304,0.5481666326522827,0.5547677218095536,0.676231468197035,0.5549263873159683,0.16524216524216523,0.6930579460699943,0.9980952380952381,0.11708099438652766,0.45598194130925507,0.4940867279894875,0.8382066276803118,0.5724999904632568,0.5572418751026713,0.6883308714918759,0.580093741384064,0.08169934640522876,0.6640537513997761,1.0,0.093841642228739,0.6336633663366337,0.5876887340301974,0.6858054226475279,0.5673333406448364,0.553193408542526,0.679920477137177,0.5754638604264747,0.07717041800643087,0.6692737430167598,0.9961977186311787,0.08829174664107485,0.6259541984732825,0.5828437132784959,0.6836248012718601,0.6266666650772095,0.6297154275721623,0.8539007092198582,0.6065822784810126,0.4105691056910569,0.7131410256410257,0.991304347826087,0.23908045977011494,0.3471502590673575,0.8066225165562914,0.6990881458966566,0.6736666560173035,0.6575845786430925,0.8678519942335415,0.6846590909090909,0.5,0.7472527472527473,0.991304347826087,0.20334448160535118,0.45569620253164556,0.8498727735368957,0.6182795698924731,0.6753333210945129,0.6585916258371731,0.8658301158301158,0.6851457000710732,0.4823008849557522,0.7525083612040134,0.991304347826087,0.20295698924731181,0.4626865671641791,0.8629700446144041,0.6216216216216216
nat,32,1.0,2,0.3,done,20000.0,0.546424150466919,42.35295605659485,0.6103333234786987,0.624248785784853,0.6697867914716589,0.6509557475779,0.27110582639714625,0.758043758043758,0.9886792452830189,0.21070234113712374,0.568359375,0.5321375186846039,0.9684684684684685,0.5821666717529297,0.6329724166192539,0.6642487046632124,0.5467879143443826,0.32114882506527415,0.7130750605326877,0.9886792452830189,0.2709677419354839,0.6080305927342257,0.5953079178885631,0.9885057471264368,0.5846666693687439,0.6375208639469433,0.6715025906735751,0.5431366735843463,0.32684824902723736,0.720048163756773,0.9849624060150376,0.26886493341788203,0.6177606177606177,0.6160583941605839,0.9885057471264368,0.7014999985694885,0.7005845947703677,0.8481203007518797,0.7452200978212539,0.3787610619469027,0.8326693227091634,0.9956331877729258,0.3337730870712401,0.4781704781704782,0.7729138166894665,0.92,0.7386666536331177,0.7410340707639747,0.8547094188376754,0.7799315849486887,0.4421052631578947,0.854251012145749,0.9912280701754386,0.4837153196622437,0.49897750511247446,0.7856650585802895,0.9787234042553191,0.7421666383743286,0.744582073289367,0.8534267133566783,0.7806228373702422,0.4495575221238938,0.8517786561264822,0.9868995633187773,0.49940688018979834,0.491869918699187,0.800552104899931,0.9871244635193133
