k,model,seed,split,acc,macro_f1,f1_Asphalt,f1_Meadows,f1_Gravel,f1_Trees,f1_PaintedMetal,f1_BareSoil,f1_Bitumen,f1_Bricks,f1_Shadows
8,mlp,1,val,0.7981205443940376,0.7891413288794459,0.8135746606334842,0.8377888536474852,0.5383734249713631,0.8608108108108108,1.0,0.46824408468244083,0.8014796547472256,0.7865459249676585,0.9954545454545455
8,mlp,1,test,0.8676447635398783,0.8313634143874342,0.8978494623655914,0.9217791411042945,0.528957528957529,0.9475766567754699,1.0,0.7217928902627512,0.6208651399491094,0.8474984930681133,0.9959514170040485
8,mlp,2,val,0.8063836681788723,0.7957193034279615,0.8349163274536409,0.8442549371633752,0.5613305613305614,0.8700410396716827,1.0,0.4566929133858268,0.8232189973614775,0.7755644090305445,0.9954545454545455
8,mlp,2,test,0.8631184641798033,0.8271688427442581,0.912373403786878,0.9167456855679879,0.5098039215686274,0.9462151394422311,1.0,0.6827309236947792,0.6470588235294118,0.8336402701043585,0.9959514170040485
16,lda,0,val,0.757453013609851,0.7674760586079055,0.7836490528414756,0.7787942763312221,0.8508403361344538,0.8494845360824742,1.0,0.2693069306930693,0.6492271105826397,0.7394957983193278,0.9864864864864865
16,lda,0,test,0.7808646792570626,0.7424298817579452,0.8327102803738318,0.8741489982493679,0.32326283987915405,0.8839779005524862,1.0,0.6235690235690236,0.4418052256532066,0.7104591836734694,0.9919354838709677
16,logreg,0,val,0.8049254698639015,0.815767527910859,0.841642228739003,0.8145142038672715,0.8574358974358974,0.8710801393728222,0.994475138121547,0.4801477377654663,0.7272727272727273,0.7666263603385731,0.9887133182844243
16,logreg,0,test,0.8735757764944592,0.8307532604757054,0.8835740072202166,0.9418627260353879,0.4605263157894737,0.9299895506792059,1.0,0.8258426966292135,0.6144927536231884,0.8245398773006135,0.9959514170040485
16,mlp,0,val,0.9031108230719378,0.8952734808169899,0.9131652661064426,0.9303260384100045,0.8804347826086957,0.9268645908761767,0.9981515711645101,0.7663755458515283,0.8586525759577279,0.788036410923277,0.9954545454545455
16,mlp,0,test,0.922896831590448,0.8799848292812932,0.9259259259259259,0.9791747011183957,0.5360443622920518,0.9625884732052579,1.0,0.9345106696100074,0.7349397590361446,0.8507281553398058,0.9959514170040485
