regime,seed,encoder,retrain_steps,retrain_status,retrain_train_loss,retrain_train_acc,probe_val,wall_s,retrained_acc_iid_val,retrained_acc_reversed_val,retrained_acc_ctx_random_val,retrained_acc_spec_only_val,retrained_acc_iid_test,retrained_acc_reversed_test,retrained_acc_ctx_random_test,retrained_acc_spec_only_test,original_acc_iid_val,original_acc_reversed_val,original_acc_ctx_random_val,original_acc_spec_only_val,original_probe_val
unready10,0,kappa1,20000,budget,0.5363779664039612,0.7317290306091309,0.6733533935138749,56.74962282180786,0.6576395630836487,0.6596456170082092,0.6589769124984741,0.6011367440223694,0.6522436141967773,0.6387820839881897,0.6451923251152039,0.5634615421295166,0.9331327080726624,0.0648612454533577,0.4981611371040344,0.4650618433952331,0.6733533935138749
unready10,0,kappa256,20000,budget,0.45489701628685,0.7990195751190186,0.7459043798060849,57.41775918006897,0.7064526677131653,0.72049480676651,0.7064526677131653,0.6596456170082092,0.7201923131942749,0.7179487347602844,0.7192307710647583,0.6310897469520569,0.9317953586578368,0.0645269155502319,0.4944834411144256,0.5302574038505554,0.7459043798060849
unready10,1,init,20000,budget,0.5262269377708435,0.7589126229286194,0.7027749916415914,59.8479380607605,0.6489468216896057,0.7077900171279907,0.6780340671539307,0.6489468216896057,0.6041666865348816,0.6647436022758484,0.6355769634246826,0.5897436141967773,,,,,
unready10,1,kappa1,20000,budget,0.5284264087677002,0.759358286857605,0.704112337011033,61.16404724121094,0.643597424030304,0.7007689476013184,0.6763623952865601,0.6442661285400391,0.595512866973877,0.6663461923599243,0.6272436380386353,0.5977564454078674,0.9244399666786194,0.040789034217596,0.4811099767684936,0.3543965220451355,0.704112337011033
unready10,1,kappa256,20000,budget,0.5243252515792847,0.7638146281242371,0.7024406552992309,61.283716917037964,0.6235372424125671,0.6690070033073425,0.6472751498222351,0.6402540802955627,0.6067307591438293,0.679807722568512,0.6381410360336304,0.6163461804389954,0.9063857793807985,0.0524908043444156,0.4787696301937103,0.3286526203155517,0.7024406552992309
unready10,2,init,20000,budget,0.4788437485694885,0.7892156839370728,0.7545971247074557,59.770142793655396,0.6629889607429504,0.7077900171279907,0.6813774704933167,0.5750585198402405,0.6839743852615356,0.7092949151992798,0.7009615898132324,0.5538461804389954,,,,,
unready10,2,kappa1,20000,budget,0.48135000467300415,0.7847593426704407,0.7552657973921765,59.729071617126465,0.664660632610321,0.7014376521110535,0.679705798625946,0.5767301917076111,0.6868590116500854,0.70641028881073,0.7006410360336304,0.5525641441345215,0.9033767580986024,0.056502841413021,0.4781009554862976,0.3523904979228973,0.7552657973921765
unready10,2,kappa256,20000,budget,0.49334561824798584,0.7754010558128357,0.7606151788699431,61.61664962768555,0.6659979820251465,0.7021062970161438,0.6803744435310364,0.6078234314918518,0.6823717951774597,0.7121794819831848,0.696794867515564,0.6121795177459717,0.8669341206550598,0.0591775327920913,0.4647274911403656,0.2781678438186645,0.7606151788699431
ready,0,init,20000,budget,0.2163861244916916,0.9180035591125488,0.9147442326980942,61.37228798866272,0.8926780223846436,0.8943496942520142,0.8923436999320984,0.8859912753105164,0.9730769395828247,0.9717949032783508,0.9721153974533081,0.9647436141967773,,,,,
ready,0,kappa1,20000,budget,0.19343118369579315,0.9273618459701538,0.9170845870946172,60.78152513504028,0.8976930379867554,0.897024393081665,0.8950183987617493,0.8923436999320984,0.9733974933624268,0.9721153974533081,0.9743589758872986,0.9663462042808533,0.8879973292350769,0.2082915306091308,0.5459712147712708,0.6710129976272583,0.9170845870946172
ready,0,kappa256,20000,budget,0.12907662987709045,0.9540997743606567,0.9157472417251755,61.14527606964111,0.9120694994926453,0.9114008545875549,0.9120694994926453,0.9130725264549255,0.9730769395828247,0.9714744091033936,0.9733974933624268,0.9685897827148438,0.9010364413261414,0.2099632173776626,0.5546639561653137,0.6730190515518188,0.9157472417251756
ready,1,init,20000,budget,0.25401192903518677,0.9032976627349854,0.923436977599465,60.779486894607544,0.8920093178749084,0.8869943022727966,0.8903376460075378,0.8726178407669067,0.9682692885398865,0.9669871926307678,0.9663462042808533,0.9576923251152039,,,,,
ready,1,kappa1,20000,budget,0.2371535301208496,0.9073083400726318,0.917753259779338,60.664238691329956,0.8913406729698181,0.8863255977630615,0.8890002965927124,0.8749582171440125,0.9695513248443604,0.9669871926307678,0.9682692885398865,0.9599359035491943,0.8609160780906677,0.2490805685520172,0.552657961845398,0.6315613389015198,0.917753259779338
ready,1,kappa256,20000,budget,0.15790045261383057,0.9385026693344116,0.923436977599465,60.53444480895996,0.9073888063430786,0.9063857793807983,0.905717134475708,0.9097291827201843,0.9724359512329102,0.9663462042808533,0.9669871926307678,0.9663462042808533,0.8298227787017822,0.2002674639225006,0.508525550365448,0.4717485606670379,0.923436977599465
ready,2,init,20000,budget,0.253701776266098,0.8966131806373596,0.9090605148779672,60.57643008232117,0.8749582171440125,0.8746238350868225,0.8752925395965576,0.8635907769203186,0.954807698726654,0.9647436141967773,0.9583333730697632,0.9500000476837158,,,,,
ready,2,kappa1,20000,budget,0.24062231183052063,0.9032976627349854,0.9093948512203276,60.57819890975952,0.8803075551986694,0.8762955069541931,0.8796389102935791,0.8716148138046265,0.95641028881073,0.9653846621513367,0.9596154093742371,0.9525641202926636,0.8304914832115173,0.2333667576313018,0.5332664251327515,0.6001337170600891,0.9093948512203276
ready,2,kappa256,20000,budget,0.16228018701076508,0.9291443824768066,0.9170845870946172,61.59895849227905,0.8993647694587708,0.9037111401557922,0.8990303874015808,0.9000334143638611,0.965705156326294,0.968910276889801,0.9669871926307678,0.965705156326294,0.7957204580307007,0.1578067541122436,0.4727515876293182,0.4139083921909332,0.9170845870946172
