k,model,seed,split,acc,macro_f1,f1_CancerEpi,f1_CAS,f1_NormalStroma,f1_NormalEpi
8,lda,0,val,0.5464516129032259,0.5383208290665182,0.4215456674473068,0.6192660550458715,0.6016159105034182,0.5108556832694764
8,lda,0,test,0.6307407407407407,0.6041974400611801,0.7201976528721433,0.6580565805658056,0.6261398176291794,0.4123957091775924
8,logreg,0,val,0.6341935483870967,0.6275449851921586,0.6866585067319462,0.6405529953917051,0.6416918429003021,0.5412765957446809
8,logreg,0,test,0.6848148148148148,0.6402774184144836,0.7988732394366197,0.6966426858513189,0.6443768996960486,0.42121684867394693
8,mlp,0,val,0.5958064516129032,0.5881346753932242,0.5513888888888889,0.6771819137749737,0.6115591397849462,0.5124087591240876
8,mlp,0,test,0.6688888888888889,0.6336472605057726,0.7446678854357099,0.7297743533296642,0.6165670367207515,0.44357976653696496
8,mlp,1,val,0.6393548387096775,0.6140661361609228,0.7291112293773284,0.6377998829724986,0.652794292508918,0.43655913978494626
8,mlp,1,test,0.7,0.6308009141542196,0.8442834971546819,0.6834834834834835,0.6314199395770392,0.36401673640167365
8,mlp,2,val,0.5832258064516129,0.5771100655626709,0.5773333333333334,0.5772409408773045,0.6523415977961432,0.5015243902439024
8,mlp,2,test,0.6177777777777778,0.5874881479664403,0.7186358099878197,0.6226537216828479,0.6225626740947076,0.3861003861003861
16,lda,0,val,0.6338709677419355,0.6299510922090983,0.6023113528212101,0.6781609195402298,0.6679035250463822,0.5714285714285714
16,lda,0,test,0.6096296296296296,0.5795151027641592,0.6588380716934487,0.6742925948223961,0.6338028169014085,0.35112692763938314
16,logreg,0,val,0.6893548387096774,0.6855993331061425,0.7009102730819246,0.7010550996483002,0.715727002967359,0.6247049567269867
16,logreg,0,test,0.6303703703703704,0.5935182751749409,0.683982683982684,0.7100522951772226,0.6338363780778395,0.34620174346201743
16,mlp,0,val,0.6758064516129032,0.6682652611381432,0.6924516531503431,0.7134831460674157,0.6978193146417445,0.5693069306930693
16,mlp,0,test,0.6692592592592592,0.628065776492298,0.7476303317535545,0.7271702367531003,0.6363636363636364,0.4010989010989011
16,mlp,1,val,0.6645161290322581,0.656576045285747,0.6905055487053021,0.68306971294669,0.6979228486646885,0.554806070826307
16,mlp,1,test,0.65,0.6075376352703326,0.7456037514654161,0.6920821114369502,0.6232339089481946,0.36923076923076925
16,mlp,2,val,0.6709677419354839,0.6635457555380311,0.6890965732087228,0.6741293532338308,0.72,0.570957095709571
16,mlp,2,test,0.632962962962963,0.597785410063442,0.7377830750893921,0.6515058389674248,0.6164079822616408,0.38544474393531
23,lda,0,val,0.6609677419354839,0.6573573626017999,0.61067615658363,0.7037037037037037,0.6987060998151571,0.6163434903047091
23,lda,0,test,0.6151851851851852,0.5802306080996857,0.6722993361496681,0.6763110307414105,0.6385636221701796,0.33374844333748444
23,logreg,0,val,0.7129032258064516,0.7094240265940777,0.7014028056112225,0.7369033760186263,0.7438512297540492,0.6555386949924128
23,logreg,0,test,0.6377777777777778,0.5946760832577891,0.7065868263473054,0.7080673244341266,0.6342629482071713,0.32978723404255317
23,mlp,0,val,0.7083870967741935,0.700036078964812,0.7429598562013181,0.7281001137656428,0.7238211879975506,0.6052631578947368
23,mlp,0,test,0.68,0.6260341189638488,0.7915508615897721,0.711287577992059,0.6244864420706656,0.37681159420289856
23,mlp,1,val,0.6948387096774193,0.6838633977967072,0.7512923607122344,0.6857142857142857,0.717741935483871,0.5807050092764379
23,mlp,1,test,0.6774074074074075,0.6258003837628104,0.8103070175438597,0.6754020250148898,0.6222222222222222,0.3952702702702703
23,mlp,2,val,0.6938709677419355,0.6854880612129842,0.7379104477611941,0.6879215205395462,0.7220956719817767,0.5940246045694201
23,mlp,2,test,0.6685185185185185,0.6216577868908303,0.8006681514476615,0.663036902601331,0.6229260935143288,0.4
32,lda,0,val,0.6838709677419355,0.6807650189799374,0.6590909090909091,0.7176811594202899,0.7157894736842105,0.6304985337243402
32,lda,0,test,0.6388888888888888,0.6004794204454574,0.6972909305064782,0.6997635933806147,0.6496,0.35526315789473684
32,logreg,0,val,0.7283870967741936,0.7240322676520132,0.7430025445292621,0.7389510901591043,0.7550295857988165,0.6591458501208702
32,logreg,0,test,0.6562962962962963,0.610666894014986,0.7224199288256228,0.7292377701934016,0.6439024390243903,0.34710743801652894
32,mlp,0,val,0.6990322580645161,0.6927112192724305,0.7439613526570048,0.7147613762486127,0.691967109424415,0.6201550387596899
32,mlp,0,test,0.6907407407407408,0.6399435585913512,0.7876056338028169,0.7344444444444445,0.6345991561181434,0.403125
32,mlp,1,val,0.7032258064516129,0.6935335390184353,0.7753001715265866,0.6833930704898447,0.7090379008746356,0.6064030131826742
32,mlp,1,test,0.6818518518518518,0.6331517931569742,0.8105726872246696,0.6850439882697947,0.616822429906542,0.42016806722689076
32,mlp,2,val,0.7138709677419355,0.7043844062182703,0.7770193401592719,0.7084785133565621,0.7141993957703927,0.6178403755868545
32,mlp,2,test,0.6940740740740741,0.6440204819950843,0.8170398689240852,0.7018954623779438,0.6248995983935743,0.4322469982847341
64,lda,0,val,0.734516129032258,0.7263257662061908,0.6512854317732366,0.8217142857142857,0.8177278401997503,0.6145755071374907
64,lda,0,test,0.6707407407407407,0.6312884591520983,0.730635838150289,0.7251461988304093,0.6688154713940371,0.40055632823365783
64,logreg,0,val,0.7703225806451612,0.7618814517037725,0.7416298168035376,0.8250143430866322,0.8277541083384053,0.6531275385865151
64,logreg,0,test,0.6933333333333334,0.6487420614964235,0.7574517825832846,0.7592695074709463,0.6638584667228307,0.4143884892086331
64,mlp,0,val,0.7406451612903225,0.7246043987622477,0.7759866592551418,0.7697516930022573,0.765142150803461,0.5875370919881305
64,mlp,0,test,0.7288888888888889,0.6687831760026856,0.8363443145589798,0.7555797495917257,0.6429809358752167,0.44022770398481975
64,mlp,1,val,0.7419354838709677,0.7267007391134458,0.7821290678433536,0.7620137299771167,0.762660158633313,0.6
64,mlp,1,test,0.7433333333333333,0.6878062193919393,0.8497627833421192,0.7560706401766004,0.6644295302013423,0.48096192384769537
64,mlp,2,val,0.7519354838709678,0.7364152880943386,0.7918502202643172,0.779379157427938,0.7650411652944902,0.6093906093906094
64,mlp,2,test,0.7462962962962963,0.6873990081199534,0.8529411764705882,0.7680690399137001,0.6514486391571555,0.47713717693836977
128,lda,0,val,0.7645161290322581,0.757577950206775,0.7351485148514851,0.810232004759072,0.8262967430639324,0.6586345381526104
128,lda,0,test,0.69,0.6538595130383218,0.7505854800936768,0.746031746031746,0.6683459277917716,0.45047489823609227
128,logreg,0,val,0.7796774193548387,0.7728361512495974,0.7868852459016393,0.7924984875983061,0.8196531791907514,0.6923076923076923
128,logreg,0,test,0.7088888888888889,0.6654100584102838,0.7741559953434226,0.771397616468039,0.6655052264808362,0.45058139534883723
128,mlp,0,val,0.765483870967742,0.7538533710062327,0.8082497212931996,0.7773972602739726,0.7772979642196175,0.6524685382381413
128,mlp,0,test,0.7681481481481481,0.7114567704364959,0.8616352201257862,0.7903485254691689,0.6928571428571428,0.5009861932938856
128,mlp,1,val,0.7716129032258064,0.7602844913454174,0.8147321428571429,0.7828054298642534,0.7801857585139319,0.6634146341463415
128,mlp,1,test,0.7581481481481481,0.7017741927866048,0.8553259141494436,0.78330658105939,0.6761565836298933,0.49230769230769234
128,mlp,2,val,0.7677419354838709,0.7542684298963653,0.8148959474260679,0.780952380952381,0.7746390458254865,0.6465863453815262
128,mlp,2,test,0.7666666666666667,0.7077769839771486,0.8627038400841662,0.7931034482758621,0.6753006475485661,0.5
256,lda,0,val,0.7574193548387097,0.7513844887395876,0.7584134615384616,0.7703889585947302,0.8034682080924855,0.6732673267326733
256,lda,0,test,0.7281481481481481,0.6840567548546308,0.7707261292166953,0.799129014697877,0.7164444444444444,0.44992743105950656
256,logreg,0,val,0.7819354838709678,0.774964996977288,0.7942583732057417,0.7949790794979079,0.8135198135198135,0.6971027216856892
256,logreg,0,test,0.7618518518518519,0.7096682397728479,0.8062709966405375,0.831413612565445,0.7334558823529411,0.4675324675324675
256,mlp,0,val,0.7825806451612903,0.770716803673754,0.8127445500279485,0.7997705106138842,0.8056234718826406,0.6647286821705426
256,mlp,0,test,0.7974074074074075,0.7290309608877116,0.8700102354145343,0.8338493292053664,0.7331433998100665,0.47912087912087914
256,mlp,1,val,0.7777419354838709,0.7659657469194023,0.8051948051948052,0.798154555940023,0.8033980582524272,0.6571155682903533
256,mlp,1,test,0.7988888888888889,0.7350650704465611,0.8638253638253638,0.839442436757873,0.7443609022556391,0.4926315789473684
256,mlp,2,val,0.7787096774193548,0.7654959137622886,0.8086763070077865,0.7979214780600462,0.806314511232544,0.6490713587487781
256,mlp,2,test,0.7992592592592592,0.7304791691771302,0.8646423057128152,0.8414074451810301,0.7398843930635838,0.4759825327510917
942,lda,0,val,0.7632258064516129,0.7565407518518754,0.781702374059062,0.7649253731343284,0.7972027972027972,0.6823324630113142
942,lda,0,test,0.7585185185185185,0.7111260678286022,0.8209036472509527,0.8071120689655172,0.7140255009107468,0.5024630541871922
942,logreg,0,val,0.78,0.7734975806369596,0.7942238267148014,0.7906418716256749,0.8099941894247531,0.6991304347826087
942,logreg,0,test,0.7681481481481481,0.7156209950890433,0.8133704735376045,0.8350730688935282,0.7380073800738007,0.47603305785123967
942,mlp,0,val,0.7880645161290323,0.7771489354937535,0.8155230596175478,0.8048498845265589,0.8106796116504854,0.6775431861804223
