dataset,fold,split,width,seed,batch,n_valid_px,lam_phi,lam_theta,D_curv,C_f,C_g,ratio_Cg_Cf,reduce_dim,spatial_size,peak_gb,secs
breast,0,train,192,0,1,14206,168.14610290527344,466.4797058105469,0.36045748788386356,61108,18271540,299.00405838842704,64,336,6.30184192,20.789483070373535
breast,0,train,192,0,2,12684,167.79457092285156,457.74920654296875,0.3665644167689032,61108,18271540,299.00405838842704,64,336,6.30184192,20.856674671173096
breast,0,train,192,0,3,10185,177.13430786132812,407.23065185546875,0.43497292518195635,61108,18271540,299.00405838842704,64,336,6.30184192,30.258705854415894
breast,0,train,192,1,0,29664,186.7590789794922,705.303466796875,0.26479251523837777,61108,18271540,299.00405838842704,64,336,6.30184192,20.470041751861572
breast,0,train,192,1,1,14206,196.87713623046875,792.003662109375,0.2485810933072178,61108,18271540,299.00405838842704,64,336,6.30184192,20.226603031158447
breast,0,train,192,1,2,12684,191.56883239746094,832.2288208007812,0.23018769310720452,61108,18271540,299.00405838842704,64,336,6.30184192,27.50051474571228
breast,0,train,192,1,3,10185,193.5513153076172,728.0171508789062,0.2658609279657084,61108,18271540,299.00405838842704,64,336,6.30184192,22.739323377609253
breast,0,train,192,2,0,29664,151.74481201171875,186.33926391601562,0.8143469541669499,61108,18271540,299.00405838842704,64,336,6.30184192,17.884320735931396
breast,0,train,192,2,1,14206,158.05624389648438,210.22271728515625,0.7518513980679321,61108,18271540,299.00405838842704,64,336,6.30184192,20.383156776428223
breast,0,train,192,2,2,12684,153.30996704101562,239.9167938232422,0.6390130703145616,61108,18271540,299.00405838842704,64,336,6.30184192,18.27391529083252
breast,0,train,192,2,3,10185,168.61566162109375,238.92901611328125,0.7057144601522551,61108,18271540,299.00405838842704,64,336,6.30184192,15.619824647903442
breast,0,train,384,0,0,29664,162.8178253173828,291.2649230957031,0.5590025176628788,61108,65935348,1078.9969889376187,64,336,6.799596544,62.90478467941284
breast,0,train,384,0,1,14206,174.43222045898438,344.3372802734375,0.5065737300372127,61108,65935348,1078.9969889376187,64,336,6.799596544,19.945600986480713
breast,0,train,384,0,2,12684,160.71112060546875,335.08245849609375,0.4796166332513113,61108,65935348,1078.9969889376187,64,336,6.799596544,22.353146076202393
breast,0,train,384,0,3,10185,165.0021514892578,316.1470947265625,0.521915760864319,61108,65935348,1078.9969889376187,64,336,6.799596544,32.10423684120178
breast,0,train,384,1,0,29664,492.0195617675781,519.7239990234375,0.9466939427313034,61108,65935348,1078.9969889376187,64,336,6.799596544,35.06656265258789
breast,0,train,384,1,1,14206,425.04681396484375,714.7731323242188,0.5946597525045806,61108,65935348,1078.9969889376187,64,336,6.799596544,28.20305562019348
breast,0,train,384,1,2,12684,397.5571594238281,828.6677856445312,0.47975457271409594,61108,65935348,1078.9969889376187,64,336,6.799596544,28.317437648773193
breast,0,train,384,1,3,10185,455.4654235839844,625.380126953125,0.7283017223508983,61108,65935348,1078.9969889376187,64,336,6.799596544,35.41525912284851
breast,0,train,384,2,0,29664,166.49530029296875,188.1995391845703,0.8846743249975981,61108,65935348,1078.9969889376187,64,336,6.799596544,38.18063688278198
breast,0,train,384,2,1,14206,162.6211700439453,180.60304260253906,0.9004342767460057,61108,65935348,1078.9969889376187,64,336,6.799596544,27.98230767250061
breast,0,train,384,2,2,12684,169.9315643310547,183.76377868652344,0.9247282872917809,61108,65935348,1078.9969889376187,64,336,6.799596544,43.168829679489136
breast,0,train,384,2,3,10185,163.81724548339844,187.5371551513672,0.8735188787052696,61108,65935348,1078.9969889376187,64,336,6.799596544,35.28890872001648
