arch,M,seed,init_mode,C_f,C_g,lambda_theta_ggn,lambda_phi_ggn,D_curv
mlp,256,45,theorem,1024,4866,0.7356346814842986,18.822183622849092,25.586318993105866
mlp,256,46,theorem,1024,4866,1.503636622348954,16.600942311749684,11.040528053790013
mlp,512,42,theorem,1024,9730,0.9025429301937636,33.025073232731124,36.59113835797383
mlp,512,43,theorem,1024,9730,0.5542159796174978,31.53191948107212,56.89464151292506
mlp,512,44,theorem,1024,9730,0.38781198383628623,22.6970555130832,58.52592611646756
mlp,512,45,theorem,1024,9730,0.09455790997899234,10.716863005235492,113.3365046627662
mlp,512,46,theorem,1024,9730,0.38002100229150937,25.77746388723261,67.8316822801784
mlp,1024,42,theorem,1024,19458,0.7862510641023617,69.01448013956076,87.7766444975848
mlp,1024,43,theorem,1024,19458,0.506483739869491,51.90992931735607,102.49081111810625
mlp,1024,44,theorem,1024,19458,1.108576457834612,66.44915692608011,59.94097786983099
mlp,1024,45,theorem,1024,19458,0.5050224588937187,53.73788601527463,106.40692323464312
mlp,1024,46,theorem,1024,19458,0.6396108922851783,58.11166245637906,90.8547105080713
mlp,2048,42,theorem,1024,38914,0.6223691549611219,125.07169226185856,200.96062162603724
mlp,2048,43,theorem,1024,38914,0.016900423790533664,5.476402063698946,324.03933366253284
mlp,2048,44,theorem,1024,38914,0.5910254971704738,94.72459869353197,160.27159428319868
mlp,2048,45,theorem,1024,38914,0.45636779310318837,113.56803365517199,248.85199037148828
mlp,2048,46,theorem,1024,38914,0.7475661400848314,110.59919083814879,147.9456932407323
mlp,4096,42,theorem,1024,77826,0.4027881955182082,255.74602858269054,634.9392346358607
mlp,4096,43,theorem,1024,77826,0.3760118154475294,243.9953396869225,648.9033845825275
mlp,4096,44,theorem,1024,77826,0.8169992178865595,240.06383954074235,293.83607020059014
mlp,4096,45,theorem,1024,77826,0.6655070363976847,231.86128403246238,348.3979452531436
mlp,4096,46,theorem,1024,77826,0.8151233637461817,241.02514000957436,295.69161028811624
mlp,8192,42,theorem,1024,155650,0.5793597619879678,527.1325456143093,909.8535662979937
mlp,8192,43,theorem,1024,155650,0.3914029445112327,499.9447021442522,1277.314616957115
mlp,8192,44,theorem,1024,155650,0.5444841638438765,387.9519115001993,712.5127547537622
mlp,8192,45,theorem,1024,155650,0.42049616072816826,375.7385498094281,893.5600010206183
mlp,8192,46,theorem,1024,155650,0.7534114731913661,417.08964528841733,553.6013986111368
deep_mlp,16,42,theorem,1024,850,0.3424681805625987,4.153380981374089,12.127786513044839
deep_mlp,16,43,theorem,1024,850,0.36721742979596667,3.4237763287553693,9.323567050337692
deep_mlp,16,44,theorem,1024,850,0.11108562122291095,3.052900015293279,27.482404848483043
deep_mlp,16,45,theorem,1024,850,0.9708090750908706,5.096378486607825,5.249619742306992
deep_mlp,16,46,theorem,1024,850,0.06505496232624994,2.37661819660906,36.53246595840522
deep_mlp,32,42,theorem,1024,2722,0.7656587241983094,7.250074076028347,9.469067414623414
deep_mlp,32,43,theorem,1024,2722,0.645053808999205,6.791986261454489,10.529332850529467
deep_mlp,32,44,theorem,1024,2722,0.5070777015837866,5.905522827130169,11.646189151455665
deep_mlp,32,45,theorem,1024,2722,0.1852393182570902,7.172932350966528,38.722515384187226
deep_mlp,32,46,theorem,1024,2722,0.9739179687547043,14.187545575794928,14.56749544721489
deep_mlp,64,42,theorem,1024,9538,0.4379085805204654,17.338773640690054,39.59450536475555
deep_mlp,64,43,theorem,1024,9538,0.502196391158568,32.58608489301424,64.88713472798577
deep_mlp,64,44,theorem,1024,9538,0.7308711023940977,27.848124106192667,38.10264766929655
deep_mlp,64,45,theorem,1024,9538,0.20862575028168354,6.459953467449657,30.964315089232848
deep_mlp,64,46,theorem,1024,9538,0.6116850568838036,27.519860920730604,44.990245570047186
deep_mlp,128,42,theorem,1024,35458,0.08999538967841778,6.055731855996706,67.2893564618784
deep_mlp,128,43,theorem,1024,35458,0.48462058423939736,43.59691138601041,89.96091541269325
deep_mlp,128,44,theorem,1024,35458,0.15020695435112433,25.86701128023699,172.20914565493533
deep_mlp,128,45,theorem,1024,35458,0.36693703228117963,21.722449525879195,59.19939285177826
deep_mlp,128,46,theorem,1024,35458,0.3925582388046522,45.267373387491766,115.31377745460607
deep_mlp,256,42,theorem,1024,136450,0.8896479150566312,88.73968221852537,99.74696811701804
deep_mlp,256,43,theorem,1024,136450,0.6009212528295569,89.03351920885558,148.1617080268398
deep_mlp,256,44,theorem,1024,136450,0.48610476418264975,48.62103601589127,100.02172288445692
deep_mlp,256,45,theorem,1024,136450,0.6742588773882272,56.70319353208139,84.09706632521298
deep_mlp,256,46,theorem,1024,136450,0.352704968075998,98.44840555222584,279.12395475816766
deep_mlp,512,42,theorem,1024,535042,0.6299390873536219,166.42281573252373,264.1887431238265
deep_mlp,512,43,theorem,1024,535042,0.43948713787254123,111.84293584829454,254.4851173340388
