arch,M,seed,init_mode,C_f,C_g,lambda_theta_ggn,lambda_phi_ggn,D_curv
deep_mlp,512,45,he_scaledbias,1024,535042,0.6054070906555291,14.728553464668256,24.328346482893547
deep_mlp,512,46,he_scaledbias,1024,535042,0.838869107072541,13.589424598681745,16.199696095742148
deep_mlp,1024,42,he_scaledbias,1024,2118658,0.3114162336261432,20.750146392037163,66.63155016172928
deep_mlp,1024,43,he_scaledbias,1024,2118658,0.36133408240371484,29.17701112913516,80.74801838520172
deep_mlp,1024,44,he_scaledbias,1024,2118658,0.4813624395751984,27.186537551280953,56.47831096932496
deep_mlp,1024,45,he_scaledbias,1024,2118658,0.2621713410294674,33.75220538303602,128.74101818490664
deep_mlp,1024,46,he_scaledbias,1024,2118658,0.30012250899553533,27.02879509464279,90.05920677227469
deep_mlp,16,42,he_zerobias,1024,850,0.279856230295995,2.0327291462925534,7.26347647912859
deep_mlp,16,43,he_zerobias,1024,850,0.2382015346888292,1.2492514794599887,5.24451482267706
deep_mlp,16,44,he_zerobias,1024,850,0.3868868835991953,1.270529935840601,3.2839829668581806
deep_mlp,16,45,he_zerobias,1024,850,0.37987767542571144,1.3001281197301167,3.422491511966643
deep_mlp,16,46,he_zerobias,1024,850,0.39301022922109036,1.4056417804761059,3.576603548619986
deep_mlp,32,42,he_zerobias,1024,2722,0.42161477344559556,1.3788846524598504,3.270484668246046
deep_mlp,32,43,he_zerobias,1024,2722,0.2551791679675039,1.1299258559454575,4.427970609612417
deep_mlp,32,44,he_zerobias,1024,2722,0.8227745771266775,1.9123480142521023,2.3242672627665186
deep_mlp,32,45,he_zerobias,1024,2722,0.35250887998408903,1.746489011781813,4.954453946977572
deep_mlp,32,46,he_zerobias,1024,2722,0.30549622249280595,1.4184996423298186,4.643264099159925
deep_mlp,64,42,he_zerobias,1024,9538,0.5548920597312879,2.0906138566655668,3.767604563810064
deep_mlp,64,43,he_zerobias,1024,9538,0.8250606239711225,4.056449689580162,4.916547429031275
deep_mlp,64,44,he_zerobias,1024,9538,1.1543357068496922,2.9249458617042983,2.533878008232799
deep_mlp,64,45,he_zerobias,1024,9538,0.5357681162734363,2.7449295305853547,5.123353643508796
deep_mlp,64,46,he_zerobias,1024,9538,0.8870679550090753,2.4201231583378666,2.7282274651811846
deep_mlp,128,42,he_zerobias,1024,35458,0.6593431839630115,3.079434883835516,4.670458357249461
deep_mlp,128,43,he_zerobias,1024,35458,0.3855185396993719,4.453829948022294,11.552829473507032
deep_mlp,128,44,he_zerobias,1024,35458,0.36142250969370016,2.0642175822457194,5.711369731772133
deep_mlp,128,45,he_zerobias,1024,35458,0.47984827479864833,3.736237121602437,7.786288537080225
deep_mlp,128,46,he_zerobias,1024,35458,0.18933401826716262,2.8818401967203555,15.220931891140088
deep_mlp,256,42,he_zerobias,1024,136450,0.595449430365731,4.340467726170509,7.2893977302229525
deep_mlp,256,43,he_zerobias,1024,136450,0.43208338431494475,7.025438752363276,16.259451317485624
deep_mlp,256,44,he_zerobias,1024,136450,0.2773925465226118,4.817542349129897,17.36723790715549
deep_mlp,256,45,he_zerobias,1024,136450,0.28477438098537095,6.808628647983631,23.908852420026488
deep_mlp,256,46,he_zerobias,1024,136450,0.3219356880836124,5.315543502847215,16.51119679986108
deep_mlp,512,42,he_zerobias,1024,535042,0.3925236510695353,6.979503706295793,17.781103603001437
deep_mlp,512,43,he_zerobias,1024,535042,0.32109907028582324,11.528495744715809,35.90323613971797
deep_mlp,512,44,he_zerobias,1024,535042,0.29796074962647406,8.389207815541809,28.1554125033535
deep_mlp,512,45,he_zerobias,1024,535042,0.33778482725114145,10.999947804458687,32.56495531186271
deep_mlp,512,46,he_zerobias,1024,535042,0.28799365946514155,7.802663406769978,27.09317775002753
deep_mlp,1024,42,he_zerobias,1024,2118658,0.32492506724506576,11.900670025007484,36.62589078124813
deep_mlp,1024,43,he_zerobias,1024,2118658,0.41518741046708774,21.538826512228145,51.87735940258127
deep_mlp,1024,44,he_zerobias,1024,2118658,0.35155594760840825,17.527502574639616,49.85693655270819
deep_mlp,1024,45,he_zerobias,1024,2118658,0.4079367875194492,22.349450884848675,54.78655411479192
deep_mlp,1024,46,he_zerobias,1024,2118658,0.3615216972549275,14.605329293210747,40.39959262227014
