regime,arm,width,head_mult,seed,threshold,step,loss,acc_train,gnorm_theta,gnorm_phi,disp,wall_s,probe_val,probe_test,acc_iid_val,acc_reversed_val,acc_ctx_random_val,acc_spec_only_val,acc_iid_test,acc_reversed_test,acc_ctx_random_test,acc_spec_only_test,status,lr,tau,reached_star,probe_val_gain,probe_test_gain
ready,ctxfree,8,1.0,0,0.4,972,0.3996220529079437,0.9053750038146972,0.4862530827522278,0.561910314323046,0.1018572077155113,13.629822254180908,0.9416666666666668,0.9633333333333332,0.893833339214325,0.8926666378974915,0.8941666483879089,0.8984999656677246,0.9099999666213988,0.9143333435058594,0.9124999642372132,0.9239999651908876,stopped,0.001,1.47454833984375,True,0.030000000000000138,0.020499999999999963
ready,ctxfree,8,1.0,0,0.3,1171,0.2997176945209503,0.9367916584014891,0.4258285760879516,0.5080840823422966,0.1268674582242965,16.387991666793823,0.943,0.9636666666666668,0.9210000038146972,0.9269999861717224,0.922333300113678,0.9351666569709778,0.9415000081062316,0.9458333253860474,0.9431666731834412,0.9541666507720948,stopped,0.001,1.47454833984375,True,0.031333333333333324,0.020833333333333592
ready,ctxfree,8,1.0,0,0.2,1463,0.1997575908899307,0.9571250081062316,0.3168031871318817,0.3942874958674931,0.1565299779176712,20.49088764190674,0.9426666666666668,0.964,0.9393333196640016,0.9481666684150696,0.9424999952316284,0.9483333230018616,0.96233332157135,0.9668332934379578,0.9641666412353516,0.968999981880188,stopped,0.001,1.47454833984375,True,0.03100000000000014,0.021166666666666778
ready,ctxfree,8,1.0,0,0.15,1713,0.1499740928411483,0.9662083387374878,0.2397569715976715,0.3062266149801325,0.1753391623497009,24.01120400428772,0.9428333333333332,0.9635,0.9476666450500488,0.9558333158493042,0.9518333077430724,0.9521666765213012,0.968833327293396,0.9729999899864196,0.9696666598320008,0.9713333249092102,stopped,0.001,1.47454833984375,True,0.031166666666666565,0.020666666666666833
ready,ctxfree,8,1.0,0,0.1,2294,0.099978007376194,0.9733332991600036,0.1329732835292816,0.1667092409346251,0.2033617198467254,32.13549256324768,0.9403333333333334,0.9636666666666668,0.9580000042915344,0.9603333473205566,0.9588333368301392,0.9558333158493042,0.975666642189026,0.975499987602234,0.975833296775818,0.975333333015442,stopped,0.001,1.47454833984375,True,0.02866666666666673,0.020833333333333592
ready,ctxfree,8,1.0,0,final,2294,0.099978007376194,0.9733332991600036,0.1329732835292816,0.1667092409346251,0.2033617198467254,32.18383836746216,0.9403333333333334,0.9636666666666668,0.9580000042915344,0.9603333473205566,0.9588333368301392,0.9558333158493042,0.975666642189026,0.975499987602234,0.975833296775818,0.975333333015442,stopped,0.001,1.47454833984375,True,0.02866666666666673,0.020833333333333592
ready,ctxfree,8,1.0,1,init,0,0.7358942031860352,0.4785000085830688,0.8218987584114075,0.4846077462586943,0.0,0.0157842636108398,0.9413333333333334,0.9523333333333333,0.2919999957084656,0.6991666555404663,0.4925000071525574,0.489166647195816,0.27033331990242,0.6866666674613953,0.4858333170413971,0.4633333384990692,stopped,0.001,1.47454833984375,True,0.0,0.0
ready,ctxfree,8,1.0,1,0.6,395,0.599736213684082,0.7437083125114441,0.4284941852092743,0.4094850886527288,0.0503976009786129,5.560265302658081,0.9341666666666666,0.9528333333333332,0.6616666316986084,0.8134999871253967,0.737500011920929,0.7885000109672546,0.6616666316986084,0.828000009059906,0.7446666359901428,0.8108333349227905,stopped,0.001,1.47454833984375,True,-0.0071666666666667656,0.0004999999999999449
ready,ctxfree,8,1.0,1,0.5,623,0.499918133020401,0.8540832996368408,0.4935062527656555,0.5310852465811531,0.078353077173233,8.78349256515503,0.9326666666666666,0.957,0.7958333492279053,0.8778333067893982,0.8371666669845581,0.8765000104904175,0.8228332996368408,0.9008333086967468,0.8616666793823242,0.9008333086967468,stopped,0.001,1.47454833984375,True,-0.008666666666666711,0.004666666666666708
ready,ctxfree,8,1.0,1,0.4,803,0.3994815349578857,0.9099166393280028,0.4902667999267578,0.5670203275499734,0.1025177016854286,11.337334871292114,0.9333333333333332,0.9575,0.8784999847412109,0.9101666808128356,0.8939999938011169,0.9111666679382324,0.909500002861023,0.93066668510437,0.9201666712760924,0.934166669845581,stopped,0.001,1.47454833984375,True,-0.008000000000000118,0.005166666666666764
ready,ctxfree,8,1.0,1,0.3,997,0.299837976694107,0.9375,0.4257907569408417,0.5169140372530521,0.1270554661750793,14.079772472381592,0.9328333333333332,0.9586666666666668,0.9161666631698608,0.928666651248932,0.921999990940094,0.9261666536331176,0.9415000081062316,0.9513333439826964,0.9480000138282776,0.9473333358764648,stopped,0.001,1.47454833984375,True,-0.008500000000000174,0.006333333333333524
ready,ctxfree,8,1.0,1,0.2,1288,0.1999681442975998,0.9567083120346068,0.3099886178970337,0.3916508467187198,0.1562884002923965,18.172645568847656,0.9308333333333332,0.959,0.9358333349227904,0.9423333406448364,0.9371666312217712,0.9358333349227904,0.9608333110809326,0.965999960899353,0.9639999866485596,0.9603333473205566,stopped,0.001,1.47454833984375,True,-0.010500000000000176,0.00666666666666671
ready,ctxfree,8,1.0,1,0.15,1555,0.1499087065458297,0.9643332958221436,0.2270869016647339,0.2913591305291407,0.1756640821695327,21.93555188179016,0.9313333333333332,0.96,0.9459999799728394,0.950166642665863,0.9478332996368408,0.9426666498184204,0.9666666388511658,0.9714999794960022,0.968999981880188,0.9661666750907898,stopped,0.001,1.47454833984375,True,-0.01000000000000012,0.0076666666666667105
ready,ctxfree,8,1.0,1,0.1,2201,0.0999854281544685,0.9710416793823242,0.1217835769057273,0.165303357441787,0.2044771909713745,30.87715220451355,0.9315,0.9606666666666668,0.9546666741371156,0.956166684627533,0.953666627407074,0.950333297252655,0.9735000133514404,0.9764999747276306,0.9748333096504213,0.9710000157356262,stopped,0.001,1.47454833984375,True,-0.00983333333333336,0.008333333333333526
ready,ctxfree,8,1.0,1,final,2201,0.0999854281544685,0.9710416793823242,0.1217835769057273,0.165303357441787,0.2044771909713745,30.92163181304932,0.9315,0.9606666666666668,0.9546666741371156,0.956166684627533,0.953666627407074,0.950333297252655,0.9735000133514404,0.9764999747276306,0.9748333096504213,0.9710000157356262,stopped,0.001,1.47454833984375,True,-0.00983333333333336,0.008333333333333526
ready,ctxfree,8,1.0,2,init,0,0.7300583124160767,0.4695416688919067,0.7184746861457825,0.5314343946397878,0.0,0.0139756202697753,0.9195,0.9365,0.4251666665077209,0.4363333284854889,0.434166669845581,0.3889999985694885,0.4424999952316284,0.4663333296775818,0.4539999961853027,0.406166672706604,stopped,0.001,1.47454833984375,True,0.0,0.0
ready,ctxfree,8,1.0,2,0.6,425,0.5999637246131897,0.7124999761581421,0.4175095558166504,0.421071029415238,0.0484340228140354,5.258940696716309,0.9345,0.96,0.5598333477973938,0.8061666488647461,0.687333345413208,0.750499963760376,0.5870000123977661,0.824999988079071,0.706166684627533,0.7833333015441895,stopped,0.001,1.47454833984375,True,0.015000000000000013,0.023499999999999965
ready,ctxfree,8,1.0,2,0.5,673,0.499765545129776,0.81270831823349,0.4366847276687622,0.486427149630126,0.0781080871820449,8.337830066680908,0.9381666666666666,0.9643333333333332,0.7053333520889282,0.8604999780654907,0.7826666831970215,0.8541666865348816,0.7221666574478149,0.8861666321754456,0.8040000200271606,0.8853332996368408,stopped,0.001,1.47454833984375,True,0.01866666666666661,0.027833333333333155
ready,ctxfree,8,1.0,2,0.4,923,0.3998103737831116,0.8936249613761902,0.3896297812461853,0.4614648398780641,0.1068399623036384,11.439639806747437,0.9413333333333334,0.9661666666666666,0.8314999938011169,0.9021666646003724,0.8686666488647461,0.9108332991600036,0.843500018119812,0.928333342075348,0.8855000138282776,0.9368333220481871,stopped,0.001,1.47454833984375,True,0.02183333333333337,0.02966666666666662
