condition,noise,seed,lambda_sd,egr_early,egr_mid,egr_late,egr_min,egr_depth,final_test_acc,peak_test_acc,overfit_gap,final_train_loss,final_test_loss
sd,0.05,46,1.0,0.11785240333898793,0.1702141165465208,0.19963800136007806,0.06922070834782992,0.048631694991158006,0.4863922119140625,0.501251220703125,0.014859008789062489,0.5494351275265217,0.713830828666687
joint,0.1,42,,0.2666905715537277,0.24197391705128413,0.16504678820383428,0.11906733824633495,0.14762323330739277,0.569580078125,0.708251953125,0.138671875,0.351703193038702,0.754686039686203
frozen,0.1,42,,,,,,,0.5729949951171875,0.628387451171875,0.055392456054687456,0.384118577465415,0.7206179738044739
sd,0.1,42,0.001,0.26629998902405466,0.24107135686263317,0.1637561154102992,0.12334985793332805,0.14295013109072663,0.5712677001953125,0.70806884765625,0.13680114746093752,0.3519132900983095,0.7524964153766632
sd,0.1,42,0.01,0.26170681650921074,0.2358981124181718,0.15623463839486146,0.119650880190174,0.14205593631903674,0.5768829345703125,0.710052490234375,0.13316955566406252,0.3546587321907282,0.7336850345134736
sd,0.1,42,0.1,0.2203300581240358,0.1855496822101732,0.13750590123931875,0.09354003855491866,0.12679001956911715,0.580780029296875,0.71282958984375,0.132049560546875,0.38990760408341885,0.6908656895160675
sd,0.1,42,1.0,0.1316181005042302,0.13850782208724788,0.1225849379683374,0.07170569118037999,0.05991240932385021,0.5427215576171875,0.701202392578125,0.15848083496093746,0.5334985852241516,0.6890603363513946
joint,0.1,43,,0.24202945308762178,0.1981640963503664,0.13641313326558127,0.08824050110540775,0.15378895198221404,0.522271728515625,0.70806884765625,0.18579711914062502,0.35395202971994877,0.8452694177627563
frozen,0.1,43,,,,,,,0.56312255859375,0.72540283203125,0.16228027343749996,0.38441775366663933,0.7227999150753022
sd,0.1,43,0.001,0.24166564073076807,0.19835168445754847,0.13652085540010128,0.08823563619583173,0.15343000453493633,0.5188812255859375,0.708587646484375,0.18970642089843748,0.35455222427845,0.8499673485755921
sd,0.1,43,0.01,0.23486270392581576,0.19262888101062536,0.1376995435980182,0.08819064707060748,0.1466720568552083,0.5188079833984375,0.7105712890625,0.19176330566406252,0.35684484243392944,0.8238971412181855
sd,0.1,43,0.1,0.19099379488053153,0.14853300277876297,0.12481977235368526,0.08761858122069947,0.10337521365983206,0.5446746826171875,0.71673583984375,0.17206115722656246,0.3882399294525385,0.7430531024932862
sd,0.1,43,1.0,0.10274597620399914,0.12295019149547029,0.11163534430469929,0.04781444604652171,0.05493153015747743,0.522955322265625,0.721038818359375,0.19808349609374998,0.5321847535669804,0.702466344833374
joint,0.1,44,,0.2530626952692635,0.23734279536309943,0.15109147091879044,0.10218235151907959,0.15088034375018392,0.570904541015625,0.718505859375,0.14760131835937496,0.33826884627342224,0.7714098274707795
frozen,0.1,44,,,,,,,0.628350830078125,0.71514892578125,0.08679809570312502,0.37220378033816814,0.6637214124202728
sd,0.1,44,0.001,0.2531593705802057,0.2369474348380643,0.15157361310610248,0.10218219832844128,0.15097717225176444,0.567083740234375,0.718505859375,0.15142211914062498,0.33875912241637707,0.7738382697105408
sd,0.1,44,0.01,0.2523180601099239,0.23080767080277967,0.14462438225172794,0.10218030328459181,0.1501377568253321,0.561895751953125,0.71844482421875,0.15654907226562498,0.340127419680357,0.7674175322055816
sd,0.1,44,0.1,0.2224642350684405,0.17854601753538707,0.13576589750962093,0.09444222690214407,0.12802200816629644,0.5561737060546875,0.718658447265625,0.16248474121093748,0.38109806925058365,0.727880859375
sd,0.1,44,1.0,0.12337740291769547,0.13245051313382303,0.12035315221292432,0.07370191277165661,0.049675490146038864,0.54345703125,0.71563720703125,0.17218017578125,0.5301288738846779,0.6908848106861114
joint,0.1,45,,0.2156042630241514,0.20548575126558435,0.13004167748597137,0.06764347637339184,0.14796078665075957,0.5446075439453125,0.640716552734375,0.09610900878906248,0.351266335695982,0.8587414383888244
frozen,0.1,45,,,,,,,0.4980743408203125,0.548583984375,0.05050964355468751,0.39361224323511124,0.8512215316295624
sd,0.1,45,0.001,0.21533624617430083,0.2048854224227899,0.12999370615944428,0.06763265883194253,0.1477035873423583,0.542474365234375,0.63983154296875,0.09735717773437502,0.35086945444345474,0.8648828268051147
sd,0.1,45,0.01,0.21167258701056937,0.19782464048774628,0.13060589258356806,0.06753513228159387,0.1441374547289755,0.537811279296875,0.641265869140625,0.10345458984375,0.3531351927667856,0.8434800028800964
sd,0.1,45,0.1,0.18176175447686854,0.1547993172018295,0.11855633055884647,0.06654475041365884,0.1152170040632097,0.5407928466796875,0.6463623046875,0.10556945800781248,0.389037286862731,0.7629228889942169
sd,0.1,45,1.0,0.10213965537501454,0.11293409021949347,0.1127129908416905,0.056123723448766594,0.04601593192624795,0.5408233642578125,0.606353759765625,0.06553039550781248,0.5333145819604397,0.6976538181304932
joint,0.1,46,,0.2593599721679756,0.23728558285603185,0.15967407832479405,0.08429191104196124,0.1750680611260144,0.5333282470703125,0.587188720703125,0.053860473632812544,0.35109756514430046,0.8246157050132752
frozen,0.1,46,,,,,,,0.3312103271484375,0.337249755859375,0.006039428710937489,0.3808268532156944,1.2012510895729065
sd,0.1,46,0.001,0.25955630977493993,0.2371898986967659,0.16017524952465634,0.08428646514588245,0.17526984462905748,0.5350128173828125,0.58746337890625,0.05245056152343752,0.35179642401635647,0.8237827479839325
sd,0.1,46,0.01,0.258425131725631,0.22958068568855788,0.16266200841148387,0.0842369869256902,0.17418814479994077,0.5335723876953125,0.585418701171875,0.051846313476562544,0.352944890037179,0.8046611487865448
sd,0.1,46,0.1,0.22678117683476048,0.18581943888459482,0.14504680272926207,0.08370832020203486,0.14307285663272562,0.529144287109375,0.582366943359375,0.05322265625,0.3855804819613695,0.7578823506832123
sd,0.1,46,1.0,0.11694685926505656,0.1349831677308352,0.12712385172366325,0.06226536892424941,0.05468149034080715,0.5095550537109375,0.55462646484375,0.045071411132812544,0.5324200317263603,0.7061109781265259
joint,0.15,42,,0.29708703856861657,0.237475971147273,0.14337095737363378,0.10030427639291395,0.19678276217570262,0.5583831787109375,0.68011474609375,0.12173156738281254,0.30758908204734325,0.8632230877876281
frozen,0.15,42,,,,,,,0.5563446044921875,0.59814453125,0.04179992675781252,0.36214970611035824,0.7990592002868653
sd,0.15,42,0.001,0.2960673136737927,0.23678685944057806,0.14229025327022338,0.09507084763823064,0.20099646603556204,0.5595977783203125,0.679962158203125,0.12036437988281246,0.3082269374281168,0.8624149322509765
sd,0.15,42,0.01,0.2886978104592833,0.23041321593266223,0.1378411486448572,0.08865595052669059,0.20004185993259269,0.555889892578125,0.6805419921875,0.12465209960937496,0.31318910606205463,0.839650821685791
sd,0.15,42,0.1,0.24359566285504394,0.18059085792993382,0.11948116276128974,0.07858755808659787,0.16500810476844607,0.56202392578125,0.682586669921875,0.12056274414062496,0.3640067595988512,0.7353782594203949
sd,0.15,42,1.0,0.12852109279531232,0.12009949618804665,0.09747543180476452,0.0635417741355851,0.06497931865972723,0.54774169921875,0.676361083984375,0.12861938476562496,0.5285299085080624,0.6882403373718262
joint,0.15,43,,0.2665684846317161,0.19494707796361818,0.1292992383113617,0.08416553372730733,0.18240295090440878,0.519000244140625,0.665924072265625,0.14692382812500004,0.3097540382295847,0.9801610052585602
frozen,0.15,43,,,,,,,0.5522705078125,0.68792724609375,0.13565673828125002,0.35663760639727116,0.8022228240966797
sd,0.15,43,0.001,0.26570796104341143,0.19406267092401153,0.12706482133916272,0.08203665101559385,0.18367131002781759,0.5174713134765625,0.6658935546875,0.1484222412109375,0.30987105704844,0.9747452318668366
sd,0.15,43,0.01,0.25736233315282947,0.18785949568509885,0.1268097447958607,0.0783440840881527,0.17901824906467678,0.5167022705078125,0.666595458984375,0.14989318847656252,0.314636567607522,0.9259240925312042
sd,0.15,43,0.1,0.21641529442758262,0.14820252713791485,0.10975538120762007,0.06963923982717073,0.14677605460041188,0.5192718505859375,0.673065185546875,0.1537933349609375,0.3621591031551361,0.8040696024894715
sd,0.15,43,1.0,0.10618559723516961,0.10466410776172991,0.09304240033431746,0.04941090782855975,0.05677468940660986,0.519793701171875,0.679290771484375,0.15949707031250004,0.5270646624267101,0.7032003045082093
