condition,noise,seed,lambda_sd,egr_early,egr_mid,egr_late,egr_min,egr_depth,final_test_acc,peak_test_acc,overfit_gap,final_train_loss,final_test_loss
sd,0.2,44,0.1,0.24099713386191376,0.1663339674129127,0.11437253338920819,0.08678761125720565,0.1542095226047081,0.5703765869140625,0.660491943359375,0.09011535644531254,0.3486836329102516,0.7332151770591736
sd,0.2,44,1.0,0.12268109559583457,0.10232638982589772,0.08765372566212934,0.050817442761741285,0.07186365283409328,0.5690399169921875,0.653778076171875,0.08473815917968752,0.5255441926419735,0.6786925971508027
joint,0.2,45,,0.2673698402220389,0.18553460595661525,0.12160173398124939,0.0654823750813553,0.20188746514068362,0.537200927734375,0.604278564453125,0.06707763671875,0.2927330508828163,1.0328408300876617
frozen,0.2,45,,,,,,,0.49573974609375,0.51190185546875,0.01616210937500001,0.35330641455948353,0.9635586559772491
sd,0.2,45,0.001,0.26648345208888474,0.1851549648920914,0.12179517825646649,0.06546303727856409,0.20102041481032065,0.5343231201171875,0.60430908203125,0.06998596191406248,0.29233413748443127,1.0282858729362487
sd,0.2,45,0.01,0.25991700232162057,0.18167968224127543,0.11698616372276423,0.06528856059344076,0.1946284417281798,0.5304443359375,0.603424072265625,0.07297973632812504,0.29925572127103806,0.9653832018375397
sd,0.2,45,0.1,0.21878349867913394,0.149140010056636,0.10042884880600371,0.06350690284505651,0.15527659583407744,0.534185791015625,0.59869384765625,0.06450805664062498,0.3527695704251528,0.7952040314674378
sd,0.2,45,1.0,0.10461144424159881,0.08701142303289965,0.07531782218306385,0.03874253481988685,0.06586890942171196,0.534808349609375,0.59405517578125,0.059246826171875044,0.5274575315415859,0.693993866443634
joint,0.2,46,,0.33197892160276726,0.2193486532819259,0.14322567197584757,0.08286125619318235,0.2491176654095849,0.5225738525390625,0.58258056640625,0.06000671386718748,0.28577671200037,1.0433449506759644
frozen,0.2,46,,,,,,,0.3718658447265625,0.3741455078125,0.002279663085937522,0.3497705031186342,1.3153771042823792
sd,0.2,46,0.001,0.33083667527135846,0.21820618591571478,0.13976022286521203,0.08285238109032392,0.24798429418103454,0.51903076171875,0.58258056640625,0.06354980468750004,0.2873008046299219,1.0395912408828736
sd,0.2,46,0.01,0.3204098154951168,0.21698330819570988,0.13819904090066987,0.08277169182336373,0.23763812367175308,0.5254730224609375,0.581085205078125,0.05561218261718748,0.2932874746620655,0.9684086441993713
sd,0.2,46,0.1,0.26002674378951923,0.16846585118264318,0.11952870996221142,0.06467085461947436,0.19535588917004487,0.5323944091796875,0.57904052734375,0.0466461181640625,0.3518513422459364,0.7940038204193115
sd,0.2,46,1.0,0.10757348593595613,0.10220788856559002,0.08607791334558977,0.046344409913608206,0.06122907602234792,0.5147552490234375,0.5703125,0.0555572509765625,0.5270727165043354,0.7033420860767364
