arm,param,train_cond,width,mult,head_mult,seed,threshold,step,loss,acc_train,gnorm_theta,gnorm_phi,probe_acc,wall_s,align_u,align_V,gain_u,gain_V,h_u,h_V,w_norm,disp,acc_iid,acc_reversed,acc_ctx_random,acc_spec_only,acc_ctx_only,status,lr,tau,reached_star,probe_acc_gain,h_u_gain,align_u_gain
mup,mup,iid,128,1.0,1.0,1,0.3,3789,0.2999638319015503,0.9026336669921876,0.1522818803787231,0.1746095655883724,0.697509765625,48.38682150840759,0.0073317575178836,0.1030450728718406,0.3070466411904621,1.1511022948297245,0.0951564551962546,1.2039674006951482,3.585917588349461,0.2130338015966665,0.90240478515625,0.11187744140625,0.50811767578125,0.5406494140625,0.898681640625,stopped,0.001,1.70233154296875,True,0.03955078125,0.0347502944775229,0.002936741657968
mup,mup,iid,128,1.0,1.0,1,0.2,7080,0.1999914646148681,0.93023681640625,0.0839145630598068,0.0948921702423185,0.7261962890625,90.549644947052,0.0100738933517361,0.1593385651583597,0.3712398789580472,1.4764420272633891,0.1293816922780344,1.8284905169280452,3.698758259560453,0.3094308319155002,0.93267822265625,0.0811767578125,0.5068359375,0.55047607421875,0.9288330078125,stopped,0.001,1.70233154296875,True,0.0682373046875,0.0689755315593027,0.005678877491820501
mup,mup,iid,128,1.0,1.0,1,0.15,13254,0.1499975770711898,0.9437713623046876,0.0414808355271816,0.0486562198461674,0.7691650390625,169.41940689086914,0.0155954550776559,0.2123419680595709,0.4763771468487592,1.7578014244559184,0.1990508308114784,2.412689160147915,3.8146253711908895,0.3987440067002927,0.94537353515625,0.06878662109375,0.50885009765625,0.5718994140625,0.9422607421875,stopped,0.001,1.70233154296875,True,0.1112060546875,0.1386446700927467,0.011200439217740301
mup,mup,iid,128,1.0,1.0,1,0.1,38396,0.0999984666705131,0.962677001953125,0.0287856329232454,0.0310439531918491,0.89459228515625,498.4376046657562,0.067507869032402,0.2528683498999382,1.0364254931254375,2.0058946708021748,0.578747763701303,2.9750276558331183,3.988971076133277,0.5318639739787853,0.960693359375,0.083740234375,0.52410888671875,0.75933837890625,0.94476318359375,stopped,0.001,1.70233154296875,True,0.23663330078125,0.5183416029825713,0.0631128531724864
mup,mup,iid,128,1.0,1.0,1,final,38396,0.0999984666705131,0.962677001953125,0.0287856329232454,0.0310439531918491,0.89459228515625,498.4732758998871,0.067507869032402,0.2528683498999382,1.0364254931254375,2.0058946708021748,0.578747763701303,2.9750276558331183,3.988971076133277,0.5318639739787853,0.960693359375,0.083740234375,0.52410888671875,0.75933837890625,0.94476318359375,stopped,0.001,1.70233154296875,True,0.23663330078125,0.5183416029825713,0.0631128531724864
mup,mup,iid,128,1.0,1.0,2,init,0,0.6837807297706604,0.557861328125,0.3115439116954803,0.3286445941955669,0.61492919921875,0.0409059524536132,0.0026724015511806,0.0322720875736059,0.1761751086726325,0.6122195871615516,0.0292364920488391,0.377094833689866,3.4079537361778094,0.0,0.56219482421875,0.43048095703125,0.49566650390625,0.49212646484375,0.562744140625,max_steps,0.001,1.70233154296875,True,0.0,0.0,0.0
mup,mup,iid,128,1.0,1.0,2,0.6,468,0.599919319152832,0.718353271484375,0.2740504741668701,0.2921112515387133,0.61297607421875,6.315601825714111,0.0026448958495825,0.0355898751516989,0.1754861789368931,0.6437272032916997,0.0286162764671369,0.4191516944252337,3.412232617924571,0.0397745443246252,0.71832275390625,0.2747802734375,0.4979248046875,0.4952392578125,0.717041015625,max_steps,0.001,1.70233154296875,True,-0.001953125,-0.0006202155817021972,-2.750570159810008e-05
mup,mup,iid,128,1.0,1.0,2,0.5,1158,0.4999896287918091,0.8268585205078125,0.2471403032541275,0.2643773504807002,0.6131591796875,15.500750541687012,0.0027200571888387,0.0482444893371417,0.1790300139366631,0.7539814910499893,0.028966064982914,0.5701924639613035,3.432707729377331,0.0916806588030736,0.82562255859375,0.1702880859375,0.49957275390625,0.50396728515625,0.82275390625,max_steps,0.001,1.70233154296875,True,-0.00177001953125,-0.0002704270659250989,4.765563765810011e-05
mup,mup,iid,128,1.0,1.0,2,0.4,2042,0.3999451398849487,0.87457275390625,0.2102279067039489,0.2261423805776963,0.6158447265625,27.355684280395508,0.002923237881231,0.0706238422681571,0.1876713282659999,0.9224472056143076,0.0306782831378311,0.8308256449146459,3.4710897955337363,0.1494770919332413,0.87506103515625,0.1217041015625,0.497802734375,0.5048828125,0.87274169921875,max_steps,0.001,1.70233154296875,True,0.00091552734375,0.0014417910889920026,0.00025083633005040015
mup,mup,iid,128,1.0,1.0,2,0.3,3440,0.299965500831604,0.90399169921875,0.1539545059204101,0.1679241509982438,0.62371826171875,46.02654266357422,0.0033160679948074,0.1060491368896241,0.2035502443596797,1.151101139110926,0.0345058629397551,1.2366265920566586,3.5347598598149697,0.220506881713929,0.902587890625,0.09521484375,0.49627685546875,0.50592041015625,0.90020751953125,max_steps,0.001,1.70233154296875,True,0.0087890625,0.005269370890916,0.0006436664436268
mup,mup,iid,128,1.0,1.0,2,0.2,6979,0.1999863684177398,0.92840576171875,0.079783134162426,0.0912033382559038,0.64007568359375,93.12992668151855,0.0042497252803799,0.1684705090247916,0.2381855935520591,1.49967449630581,0.044815366501609,1.9435518105957443,3.6537183119660654,0.3263770153436199,0.9283447265625,0.07086181640625,0.49652099609375,0.5074462890625,0.9276123046875,max_steps,0.001,1.70233154296875,True,0.025146484375,0.015578874452769901,0.0015773237291993002
mup,mup,iid,128,1.0,1.0,2,0.15,14354,0.1499980092048645,0.942413330078125,0.0335213467478752,0.0419270333941624,0.66473388671875,179.4292962551117,0.0060357506333405,0.2309331377474773,0.293533625819976,1.8156634162312952,0.0671288521047021,2.626093152932002,3.7782632568341104,0.4227899568506658,0.941162109375,0.0570068359375,0.49615478515625,0.511474609375,0.93975830078125,max_steps,0.001,1.70233154296875,True,0.0498046875,0.037892360055862995,0.0033633490821599003
