dataset,block,seed,batch,rank,eigenvalue
breast,theta,0,3,11,51.72412502532123
breast,theta,0,3,12,50.76007504270372
breast,theta,0,3,13,47.43489382806271
breast,theta,0,3,14,45.62951353356975
breast,theta,0,3,15,43.788983841205166
breast,theta,0,3,16,40.32899522926894
breast,theta,0,3,17,36.99763682152826
breast,theta,0,3,18,34.31247855870325
breast,theta,0,3,19,31.58487119162422
breast,theta,0,3,20,30.71551646474383
breast,theta,0,3,21,29.454504365939368
breast,theta,0,3,22,28.987756815499054
breast,theta,0,3,23,26.278840652650576
breast,theta,0,3,24,25.72892348844212
breast,theta,0,3,25,23.290584206535137
breast,theta,0,3,26,23.042005207292465
breast,theta,0,3,27,22.038371273561747
breast,theta,0,3,28,21.71564926536067
breast,theta,0,3,29,20.44204321929887
breast,theta,0,3,30,19.999531632610324
breast,theta,0,3,31,19.666323165181417
breast,theta,0,3,32,19.036572367891083
breast,theta,0,3,33,18.678988163866325
breast,theta,0,3,34,17.94425143218851
breast,theta,0,3,35,17.369945839453028
breast,theta,0,3,36,17.039900125960372
breast,theta,0,3,37,16.46140572694455
breast,theta,0,3,38,15.853476712602156
breast,theta,0,3,39,15.70141161732439
breast,theta,0,3,40,15.388079800016543
breast,phi,0,3,1,177.14501914279077
breast,phi,0,3,2,119.5141853061995
breast,phi,0,3,3,71.37439104645183
breast,phi,0,3,4,68.22153544934888
breast,phi,0,3,5,64.53595402437783
breast,phi,0,3,6,50.48466452586688
breast,phi,0,3,7,50.15358599236983
breast,phi,0,3,8,47.89220050176375
breast,phi,0,3,9,44.59323996568358
breast,phi,0,3,10,37.94662795969166
breast,phi,0,3,11,36.72020127725438
breast,phi,0,3,12,33.18569326402191
breast,phi,0,3,13,32.246586056018685
breast,phi,0,3,14,28.45602234856466
breast,phi,0,3,15,27.128416320519683
breast,theta,1,0,1,705.3091662486086
breast,theta,1,0,2,326.60129149274553
breast,theta,1,0,3,164.22806125586666
breast,theta,1,0,4,146.91218713974817
breast,theta,1,0,5,101.42118354045604
breast,theta,1,0,6,86.6521454116651
breast,theta,1,0,7,81.20788870233957
breast,theta,1,0,8,71.83251615466756
breast,theta,1,0,9,66.80940303503802
breast,theta,1,0,10,51.491618257270325
breast,theta,1,0,11,51.163675442678176
breast,theta,1,0,12,44.67243116165261
breast,theta,1,0,13,39.468008379540414
breast,theta,1,0,14,38.22998181446578
breast,theta,1,0,15,34.519652176821474
breast,theta,1,0,16,32.340199210409736
breast,theta,1,0,17,29.93724889593599
breast,theta,1,0,18,28.79744290178393
