noise,lr,weight_decay,seed,egr_early,egr_mid,egr_late,egr_min,egr_depth,final_test_acc,peak_test_acc,overfit_gap,final_train_loss,final_test_loss
0.15,0.0003,0.0,42,0.4271904501826586,0.2790209631638575,0.22513669336331643,0.15946172846931342,0.26772872171334516,0.644207763671875,0.67852783203125,0.034320068359374956,0.4331130366772413,0.6334300220012665
0.15,0.0003,0.0,43,0.3606965774718782,0.2236620860855747,0.1904741639424813,0.08944602595937375,0.2712505515125045,0.538446044921875,0.683685302734375,0.14523925781250002,0.43310002237558365,0.6970963716506958
0.15,0.0003,0.0,44,0.4252823305333068,0.2652986291626399,0.21561438408427672,0.10161418003526988,0.3236681504980369,0.6407989501953125,0.680633544921875,0.03983459472656248,0.42797379195690155,0.6338409423828125
0.15,0.0003,0.0,45,0.34366875214878795,0.21496572819682555,0.18593635185857046,0.06697054680893409,0.27669820533985384,0.589605712890625,0.61865234375,0.029046630859374978,0.43513571470975876,0.6658137917518616
0.15,0.0003,0.0,46,0.39933350991286,0.2607555636217836,0.2165139177638965,0.08376204340795651,0.3155714665049035,0.567034912109375,0.586395263671875,0.019360351562500044,0.4332901034504175,0.6819027841091156
0.15,0.0003,0.0,47,0.3650641656891396,0.23084276063926587,0.1990266920351655,0.06819506009471916,0.2968691055944204,0.482501220703125,0.486083984375,0.003582763671874989,0.4319043140858412,0.7369738280773163
0.15,0.0003,0.001,42,0.4841700016720595,0.28515629925024943,0.2406914666244635,0.15946172846931342,0.3247082732027461,0.6758331298828125,0.680267333984375,0.004434204101562478,0.46555870212614536,0.6193583309650421
0.15,0.0003,0.001,43,0.4061468703032081,0.24868940187384106,0.23549942404944058,0.08944602595937375,0.3167008443438344,0.567523193359375,0.685760498046875,0.11823730468750004,0.4636324383318424,0.6795142471790314
0.15,0.0003,0.001,44,0.46936160832287505,0.270860671496298,0.24393612561509564,0.10161418003526988,0.36774742828760515,0.6884552001953125,0.6893310546875,0.0008758544921875222,0.4611160885542631,0.6086414575576782
0.15,0.0003,0.001,45,0.38742488100212547,0.25331928129618847,0.24222541529886457,0.06697054680893409,0.32045433419319136,0.645440673828125,0.647491455078125,0.002050781250000022,0.4652870539575815,0.6390875399112701
0.15,0.0003,0.001,46,0.45823617888791535,0.29290161031942286,0.25936601057658265,0.08376204340795651,0.37447413547995884,0.6021331787109375,0.604827880859375,0.002694702148437478,0.46583535335958004,0.6630016267299652
0.15,0.0003,0.001,47,0.409558982170577,0.25960884913252724,0.24634729098646155,0.06819506009471916,0.34136392207585786,0.4721710205078125,0.47467041015625,0.002499389648437489,0.464584419503808,0.7267780900001526
0.15,0.001,0.0,42,0.29708703856861657,0.237475971147273,0.14337095737363378,0.10030427639291395,0.19678276217570262,0.5583831787109375,0.68011474609375,0.12173156738281254,0.30758908204734325,0.8632230877876281
0.15,0.001,0.0,43,0.2665684846317161,0.19494707796361818,0.1292992383113617,0.08416553372730733,0.18240295090440878,0.519000244140625,0.665924072265625,0.14692382812500004,0.3097540382295847,0.9801610052585602
0.15,0.001,0.0,44,0.2981722266348735,0.22539347467277648,0.1387473535954695,0.09512455399101355,0.20304767264385998,0.5629486083984375,0.6854248046875,0.12247619628906248,0.29734909906983376,0.8772749900817871
0.15,0.001,0.0,45,0.24627020137615982,0.19447437362203338,0.12079785109230283,0.06697054680893409,0.17929965456722574,0.5391998291015625,0.627166748046875,0.0879669189453125,0.31120190769433975,0.9697449982166291
0.15,0.001,0.0,46,0.3033301481950929,0.22894465439390943,0.1477705396941762,0.08376204340795651,0.2195681047871364,0.5247894287109375,0.58819580078125,0.06340637207031252,0.3087310213595629,0.9504324316978454
0.15,0.001,0.0,47,0.28463546649743393,0.20261954326991963,0.12906622194682707,0.06819506009471916,0.21644040640271478,0.4965850830078125,0.511871337890625,0.015286254882812489,0.303180443122983,1.0616867303848267
0.15,0.001,0.001,42,0.31205523261060564,0.2605029529980232,0.28438848045062515,0.15946172846931342,0.15259350414129222,0.67462158203125,0.682342529296875,0.007720947265625,0.4655175395309925,0.618858540058136
0.15,0.001,0.001,43,0.29750849210452984,0.2550058900996918,0.2682930435638908,0.08944602595937375,0.2080624661451561,0.5624359130859375,0.6702880859375,0.10785217285156246,0.462533263489604,0.6834501028060913
0.15,0.001,0.001,44,0.28585988885242497,0.2650876837373184,0.2733281800213283,0.10161418003526988,0.18424570881715507,0.6867828369140625,0.691375732421875,0.0045928955078125,0.46165235340595245,0.6104288041591645
0.15,0.001,0.001,45,0.27096577523996157,0.2660132941076454,0.2875264877779614,0.06697054680893409,0.20399522843102746,0.644964599609375,0.652313232421875,0.007348632812499978,0.46446865051984787,0.6384351432323456
