arm,width,seed,optimizer,val_f1,val_f1_best,theta_disp_abs,theta_disp_rel,mu_hat,C_hat,r_final,B_hat,B_p99,thm2_bound,diss_share_theta,egr_e1,egr_e5,egr_e20,egr_e60,jac_first,jac_last
frozen_random,48,2,adamw,0.6006538094419612,0.8103373886921924,0.0,0.0,0.0006021473395890797,0.7594009041786194,0.06854386687278745,873.6876542579887,467.82825883767316,1418992.0607259006,0.971362717859092,0.7669261298911565,1.7954838652083112,3.689524140618712,5.407222298876662,1.8822360038757324,249.93191528320312
frozen_random,48,0,sgd,0.45480083311309033,0.6368654988024409,0.0,0.0,0.00011401786809336117,0.6998167037963867,0.42862734019756316,523.200796130331,145.24885256723508,437043.32892386126,0.9514257647955434,1.0543238078549777,2.2741926848632827,2.6024507922841575,4.380834382573562,3.519355297088623,11.648326873779297
frozen_random,48,1,sgd,0.5537489461396813,0.6623988736807389,0.0,0.0,0.00011112397145245506,0.7452297806739807,0.5050243985652924,414.92869214503844,137.04605184776227,357597.45821555017,0.9306483696630145,0.9541601002557677,1.7686482614396417,1.6928296809525287,4.329674618920508,4.306896686553955,9.154715538024902
frozen_random,48,2,sgd,0.5229304860870784,0.6613985205820375,0.0,0.0,0.00021670278954845622,0.7747679948806763,0.45114102840423587,193.29185509127134,77.46819232592237,149780.1046156843,0.8429513870799829,1.0560689278066313,1.6359669254564828,2.350048634568374,3.1089955324997653,4.057673454284668,9.833436965942385
joint_linear,192,0,adamw,0.5979891788145013,0.8957342330217847,2.475140280165125,0.5373227573741138,0.001508683054007822,0.7031295895576477,0.06221106380224221,1017.9618873877693,331.67255471996026,374852.2632970736,0.9581417604250763,0.7146475692048853,3.9244805217216836,3.4174894327596625,4.794143981622776,4.312383651733398,188.35015869140625
joint_linear,192,1,adamw,0.6979404821276403,0.7930360086988189,2.5439911783526257,0.5507688528165194,0.0017380135564594333,0.8238462805747986,0.03303310737013815,750.586455148804,253.46882005083788,386453.78607875825,0.9384320897042543,0.6967758882402527,1.5710343926945975,2.498896760794474,4.1878901165939855,7.171597480773926,51.820682525634766
joint_linear,192,2,adamw,0.6415319712700455,0.8847837689457478,2.5564816248366227,0.5546124650752019,0.0024968614167145873,0.7660003304481506,0.05120236605405804,537.4131919578587,268.68027244062176,222998.16016750448,0.9364407730420556,0.5994110829757123,1.3404428540601796,2.8889085399057484,3.0768425793318106,3.0326805114746094,414.0848388671875
joint_linear,192,0,sgd,0.43504202339123077,0.6707227305202179,1.5940348052821214,0.34604550852663485,6.118006008319164e-05,0.7282137274742126,0.4027912777662277,42.59853367882915,18.448352143241635,130034.14401375435,0.25350262584409755,0.5906365124299889,0.40890752476040304,0.32737207298616733,0.5638272585718814,2.4304449558258057,14.089494705200195
joint_linear,192,1,sgd,0.38140556284563437,0.6534398077737772,1.5539782262435684,0.3364330868176403,0.00015142886666111375,0.850728452205658,0.5170997685194015,39.756878870986775,16.938041512212394,47375.109883957804,0.2571036932607234,0.5919551944497603,0.3179944504325867,0.5161547223652019,0.5309160155482361,2.0086238384246826,15.270147323608398
joint_linear,192,2,sgd,0.5235640451504995,0.67992187944432,1.5444284222520983,0.3350539452643949,6.0675063228490644e-05,0.723156213760376,0.44777002930641174,40.31947299870212,19.165455346964432,109493.83605851464,0.23402706101030382,0.541888536043504,0.4913556286507311,0.4607239688788694,0.6861491152347646,1.665013074874878,28.99740028381348
joint_linear,48,0,adamw,0.48934379049682414,0.8391449532255908,2.544293444832393,0.5523350657341408,0.0006034888975174764,0.6906064748764038,0.10553400784730908,508.04268577763474,265.3080738301361,570337.0177491361,0.9560042147531977,0.8279896072452837,2.245597248001866,5.530373849681454,3.5980287667300614,1.5762379169464111,89.56692504882812
joint_linear,48,1,adamw,0.4922420364991167,0.8939159402651395,2.954893853376419,0.6397284360367111,0.00046653136765115687,0.7131208777427673,0.09959917619824403,272.75036050068445,168.85848651944528,508089.1980845994,0.9238626801641596,0.815103429454439,1.077634725022958,2.4101326975189945,4.479282422273441,1.7767654657363892,71.84245300292969
joint_linear,48,2,adamw,0.6328976174954792,0.8853321144993779,2.755041885425389,0.5976888535464657,0.0007334180531196232,0.7270588874816895,0.10300695598125455,484.6407180328975,299.5221620979132,580254.3397367102,0.9568915127544956,0.7332528701717553,1.4934855650148233,3.3634270306554295,4.641060474746904,1.3881688117980957,128.07984924316406
joint_linear,48,0,sgd,0.5870433061727361,0.6449417442659053,1.699967423295556,0.36904218748781276,0.0001164364198661289,0.7078081369400024,0.3849333912134171,42.86926124517682,19.16453815284662,70960.33033686261,0.2703421454199018,0.7789923397038787,0.4534850931151879,0.3772991919945699,0.5732183866677181,2.1537792682647705,12.47602653503418
