dataset,fold,split,width,seed,batch,n_valid_px,lam_phi,lam_theta,D_curv,C_f,C_g,ratio_Cg_Cf,reduce_dim,spatial_size,peak_gb,secs,lam_max_sigma,trace_sigma,eff_rank_sigma
breast,0,train,192,0,2,12684,169.75025939941406,470.16583251953125,0.3610433758866611,61108,18271540,299.00405838842704,64,336,6.300847104,25.31931161880493,0.05876401243405247,0.08286280930042267,1.4100944756523377
breast,0,train,192,0,3,10185,174.06639099121094,398.4812927246094,0.43682449883916713,61108,18271540,299.00405838842704,64,336,6.300847104,36.371065616607666,0.03742431433562701,0.06032206118106842,1.6118414525939178
breast,0,train,192,1,0,29664,184.78672790527344,579.0255126953125,0.3191339998907951,61108,18271540,299.00405838842704,64,336,6.300847104,22.91344714164734,0.028991544735629735,0.04417584091424942,1.5237491246873314
breast,0,train,192,1,1,14206,197.61489868164062,749.8187255859375,0.2635502314605662,61108,18271540,299.00405838842704,64,336,6.300847104,23.2008056640625,0.04142916054458458,0.06692904978990555,1.6155058154721456
breast,0,train,192,1,2,12684,193.58876037597656,837.1338500976562,0.2312518605637478,61108,18271540,299.00405838842704,64,336,6.300847104,30.6948401927948,0.05876401243405247,0.08286280930042267,1.4100944756523377
breast,0,train,192,1,3,10185,195.98306274414062,657.8712158203125,0.2979049060533307,61108,18271540,299.00405838842704,64,336,6.300847104,22.701350927352905,0.03742431433562701,0.06032206118106842,1.6118414525939178
breast,0,train,192,2,0,29664,150.21823120117188,189.66253662109375,0.792029010459122,61108,18271540,299.00405838842704,64,336,6.300847104,17.928821086883545,0.028991544735629735,0.04417584091424942,1.5237491246873314
breast,0,train,192,2,1,14206,157.96249389648438,210.33688354492188,0.7509975960195691,61108,18271540,299.00405838842704,64,336,6.300847104,20.43808674812317,0.04142916054458458,0.06692904978990555,1.6155058154721456
breast,0,train,192,2,2,12684,153.41416931152344,240.68655395507812,0.6374023259319951,61108,18271540,299.00405838842704,64,336,6.300847104,18.335301399230957,0.05876401243405247,0.08286280930042267,1.4100944756523377
breast,0,train,192,2,3,10185,167.55528259277344,235.74366760253906,0.7107519972721795,61108,18271540,299.00405838842704,64,336,6.300847104,18.099799394607544,0.03742431433562701,0.06032206118106842,1.6118414525939178
breast,0,train,384,0,0,29664,158.02708435058594,261.66748046875,0.6039232848785676,61108,65935348,1078.9969889376187,64,336,6.799284736,63.06881046295166,0.028991544735629735,0.04417584091424942,1.5237491246873314
breast,0,train,384,0,1,14206,173.97947692871094,336.7872619628906,0.5165856805709033,61108,65935348,1078.9969889376187,64,336,6.799284736,17.51378631591797,0.04142916054458458,0.06692904978990555,1.6155058154721456
breast,0,train,384,0,2,12684,161.68663024902344,344.24560546875,0.46968393402977243,61108,65935348,1078.9969889376187,64,336,6.799284736,22.39086604118347,0.05876401243405247,0.08286280930042267,1.4100944756523377
breast,0,train,384,0,3,10185,161.340576171875,312.828125,0.5157483080265721,61108,65935348,1078.9969889376187,64,336,6.799284736,24.836585760116577,0.03742431433562701,0.06032206118106842,1.6118414525939178
breast,0,train,384,1,0,29664,464.1054382324219,400.8861083984375,1.1576989786115293,61108,65935348,1078.9969889376187,64,336,6.799284736,49.889591693878174,0.028991544735629735,0.04417584091424942,1.5237491246873314
breast,0,train,384,1,1,14206,427.13287353515625,667.1693725585938,0.640216549355529,61108,65935348,1078.9969889376187,64,336,6.799284736,28.230214595794678,0.04142916054458458,0.06692904978990555,1.6155058154721456
breast,0,train,384,1,2,12684,401.6044616699219,825.139892578125,0.4867107569058632,61108,65935348,1078.9969889376187,64,336,6.799284736,28.23372507095337,0.05876401243405247,0.08286280930042267,1.4100944756523377
breast,0,train,384,1,3,10185,459.1416931152344,540.3338623046875,0.8497370332424773,61108,65935348,1078.9969889376187,64,336,6.799284736,55.03962707519531,0.03742431433562701,0.06032206118106842,1.6118414525939178
breast,0,train,384,2,0,29664,163.96719360351562,170.728759765625,0.9603958573154775,61108,65935348,1078.9969889376187,64,336,6.799284736,36.349103927612305,0.028991544735629735,0.04417584091424942,1.5237491246873314
breast,0,train,384,2,1,14206,162.57896423339844,180.15213012695312,0.9024537435046097,61108,65935348,1078.9969889376187,64,336,6.799284736,25.567161798477173,0.04142916054458458,0.06692904978990555,1.6155058154721456
breast,0,train,384,2,2,12684,169.831787109375,183.4031219482422,0.9260027054354226,61108,65935348,1078.9969889376187,64,336,6.799284736,35.88962173461914,0.05876401243405247,0.08286280930042267,1.4100944756523377
breast,0,train,384,2,3,10185,165.28855895996094,181.4716796875,0.9108228856678524,61108,65935348,1078.9969889376187,64,336,6.799284736,28.846722841262817,0.03742431433562701,0.06032206118106842,1.6118414525939178
