arm,width,seed,step,epoch,total_steps,N_sites,C_classes,NC,P_theta,P_phi,loss_probe,r_sq,a_eff,kappa_eff,lam_max_Ktheta,lam_max_Kphi,lam_min_Kphi,share_inst,share_A1_bound,share_proxy_lammax,share_proxy_lammin,frac_range_Jtheta,frac_range_Jtheta_rtol1e-6,rank_Jtheta,rank_Jtheta_rtol1e-6,a_eff_H,kappa_eff_H,lam_max_Ktheta_H,lam_max_Kphi_H,lam_min_Kphi_H,share_inst_H,share_proxy_lammax_H,share_proxy_lammin_H,chk_grad_theta_relerr,chk_grad_phi_relerr,chk_ggn_phi_relerr,lam_max_Gphiphi_ggnpy,frac_r_topk1_Kphi,frac_r_topk5_Kphi,frac_r_topk20_Kphi,frac_r_topk100_Kphi,frac_r_topk1_Jtheta_sv,frac_r_topk5_Jtheta_sv,frac_r_topk20_Jtheta_sv,share_cum_discrete,test_loss,test_acc,share_cum_discrete_fullrun
joint,512,42,343,21,2400,1024,2,2048,1024,9730,0.4610106392280261,0.30486377260725717,0.004001209234519448,0.07441326215913643,6.150279081770477,72.74254854096672,8.872209279056963e-07,0.051026413408216446,0.051026413408216446,0.07795739190869036,0.9999998557430015,0.5031424237071543,0.5031424237071543,1024,1024,0.0013297000430156063,0.04793724683946075,0.6135364576689757,21.445732948666052,-3.145511693112732e-16,0.026989698513032158,0.027813090559235792,1.0000000000000004,3.5552748645684346e-16,6.117360570031464e-16,4.969818966744359e-16,21.445732948666063,0.0005455474992689767,0.0031217893320983686,0.01595382121350841,0.04338257066298827,9.554771140267445e-05,0.0005279375946224762,0.02049813678510219,0.23462990753955257,0.6085819005966187,0.722381591796875,0.1302518249011428
joint,512,42,2400,150,2400,1024,2,2048,1024,9730,0.448833783241945,0.2950708366257414,0.01596425326497278,0.057601926197332114,20.467677835765077,72.13422679147155,3.0672817763682296e-06,0.21700533290780472,0.21700533290780472,0.22102869177644324,0.9999998501402385,0.7578237835187726,0.7578237835187726,1024,1024,0.004476527429872717,0.041042857199132754,0.7007815677788456,20.966707635071078,-3.560354532197186e-16,0.09834332046352452,0.03234253684024782,1.0000000000000004,0.0,6.123760706475879e-16,8.472273617384406e-16,20.966707635071096,0.000513144828661393,0.001773324447718383,0.01232269175325196,0.03958040294790583,0.00017851853381001774,0.0011954499567430688,0.0025507103593697187,0.1302518249011428,0.5804601311683655,0.67315673828125,0.1302518249011428
joint,2048,42,0,0,2400,1024,2,2048,1024,38914,0.681692924056997,0.48858992649663163,0.41499185612497946,6.4154273599057,1.593668895452964,253.3757466148036,1.2750405001359704e-05,0.060756425484253244,0.060756425484253244,0.006250431614566948,0.9999919994027449,0.6627367476753755,0.6627367476753755,1024,1024,0.2055889531761877,3.180542283754587,0.6054972290592329,125.47537841538352,-2.773640713336947e-15,0.06071499856058021,0.004802451013798311,1.0000000000000047,1.368882450369235e-16,0.0,3.3976836479003727e-16,125.47537841538356,0.0011537700278842033,0.324130973703659,0.34359177650567646,0.3879472389441471,0.129097206617935,0.3382631430513425,0.346264851703107,,0.6792100071907043,0.58013916015625,0.017301600967144032
joint,2048,42,1,0,2400,1024,2,2048,1024,38914,0.6013626864007537,0.41112022491918265,0.31302853582771895,5.455220916965705,1.9202614727585592,253.42822191763926,1.2969422125493083e-05,0.054267510167426404,0.054267510167426404,0.007520160085786392,0.9999932460580422,0.6063721012226436,0.6063721012226436,1024,1024,0.14445868695980868,2.573219497573801,0.6594087724053032,120.8007314808665,-1.1739428969552335e-14,0.05315518510687818,0.005429013757355187,1.0000000000000178,0.0,0.0,0.0,120.8007314808665,0.006990074420988889,0.19802982784152873,0.21960239852020122,0.2723317877040875,0.12043592159718093,0.21339705275020598,0.23047690298582668,0.06372138350343784,0.6739963293075562,0.5931396484375,0.017301600967144032
joint,2048,42,7,0,2400,1024,2,2048,1024,38914,0.4878299301661052,0.32599130772122437,0.021690148539179666,1.7939065346444791,10.368706280134678,255.89012595063508,1.4871098879565484e-05,0.011946567616077526,0.011946567616077526,0.03894220594773733,0.9999985657730917,0.5235080366837547,0.5235080366837547,1024,1024,0.005447763033944687,0.6580924298106905,0.9944061659500228,67.66725919286853,-1.4724177992912453e-15,0.008210147769029352,0.01448269803468008,1.0000000000000016,0.0,0.0,8.400431691608799e-16,67.66725919286858,0.006223688184144902,0.015844662119702223,0.03230657724389762,0.0861829884734203,0.0010574480118499842,0.0013252319143326017,0.03392998038650631,0.0778659541364083,0.6522754430770874,0.6126708984375,0.017301600967144032
joint,2048,42,49,3,2400,1024,2,2048,1024,38914,0.4684090779501324,0.3104351344444506,0.015073885451479,0.23591347790913025,8.11070263131886,254.39810142770887,1.4118759249694304e-05,0.06005834417177971,0.06005834417177971,0.030896878527148702,0.9999982592464162,0.5043055673818168,0.5043055673818168,1024,1024,0.004010386924610873,0.13676251911185294,1.0960017325999327,79.43210541671705,-1.2796348648634655e-15,0.02848834365593106,0.013610176265135629,1.000000000000001,0.0,3.789890108398239e-16,5.367170355355287e-16,79.43210541671709,0.0008034621159988571,0.001728414652043689,0.013635347333800863,0.05133645763124705,0.0010739423440735698,0.004414420011609463,0.029507218539365075,0.08787362239153458,0.6112868785858154,0.69921875,0.017301600967144032
joint,2048,42,343,21,2400,1024,2,2048,1024,38914,0.4598997975647662,0.3042992337379933,0.004870013707947617,0.8406725879151005,9.840326320869089,255.35447111154517,1.8567128555005864e-05,0.005759631387702356,0.005759631387702356,0.037106030797519424,0.9999981131628245,0.5405883131401718,0.5405883131401718,1024,1024,0.0016271578379912772,0.43582528974828005,0.7683580414164682,75.86786771836762,-1.15491311657456e-15,0.0037196222057264416,0.010026042303086314,1.0000000000000016,2.926437289619392e-16,4.339927600491371e-16,0.0,75.86786771836762,0.0031559635441624294,0.007045637021446374,0.017233158730244648,0.053333443073417475,5.4350426821518396e-05,0.0003838458745287519,0.01491194059346109,0.03038572190926925,0.6127611398696899,0.701934814453125,0.017301600967144032
joint,2048,42,2400,150,2400,1024,2,2048,1024,38914,0.4288005212066498,0.28074288194961805,0.033342942574618485,0.8538917540351798,49.01477888477014,250.5295795489842,4.987573303907246e-05,0.03758074690048169,0.03758074690048169,0.16363112008203617,0.9999989824358403,0.8174448184820785,0.8174448184820785,1024,1024,0.009704372191428383,0.44183210517711896,0.8199651769393238,72.63987203195396,-2.4406439571856293e-15,0.021491889753809643,0.011162088129975548,1.0000000000000029,3.7063597696811303e-16,0.0,5.869030733816837e-16,72.639872031954,0.003112222557995437,0.005635743752148384,0.013721294733344193,0.04338524050978382,6.24187266125642e-05,0.00027426778638363033,0.003264528065249612,0.017301600967144032,0.5687552690505981,0.678863525390625,0.017301600967144032
frozen,128,42,0,0,2400,1024,2,2048,1024,2434,0.651468617989308,0.45971322363955214,0.5751338216547721,0.5743193124419823,2.3366992750367053,19.919727779957544,-8.149915799552795e-16,0.5003543029239856,0.5003543029239856,0.10498986514155514,1.0000000000000004,0.676724891718939,0.676724891718939,1024,1024,0.2733054865144624,0.28684085759516903,1.0535337946651617,9.486408949843117,-1.4376225635841991e-16,0.4879180046223264,0.09995631097845327,1.0000000000000002,2.0995408551071153e-16,2.1025184589105498e-16,1.1235169275068808e-15,9.486408949843106,0.009390130188144441,0.27853545706021193,0.29903772727906214,0.3407403336386341,0.22196862090312627,0.29235225033039847,0.3095577850418397,,0.7039963006973267,0.50738525390625,0.7255626992316914
frozen,128,42,1,0,2400,1024,2,2048,1024,2434,0.6430346687231241,0.45139120922455855,0.5707586815770627,0.46779818329292444,2.3480208073566575,19.90357277611165,-1.363274048293793e-15,0.5495690230197591,0.5495690230197591,0.10552146741980341,1.0000000000000007,0.6705531959482793,0.6705531959482793,1024,1024,0.27141739904486545,0.23332651921374659,1.0635108615756115,9.523526336643904,-1.4870664496128714e-16,0.5377328764678672,0.10045405921067967,1.0000000000000002,0.0,0.0,5.595690430020605e-16,9.52352633664391,0.0056591109605871074,0.26519114381726155,0.2860541744499252,0.3303788945797141,0.2252961788736286,0.2830352952461532,0.30015764541465295,0.4028607421470396,0.6999994516372681,0.51031494140625,0.7255626992316914
